Time (s),CH2 (V),CH3 (V)
0.0,0.10056,0.22782
5e-05,0.10102,0.2271333
0.0001,0.1001867,0.2251067
0.00015000000000000001,0.10164,0.2325133
0.0002,0.10196,0.2267666
0.00025,0.10076,0.22914
0.00030000000000000003,0.10076,0.2254467
0.00035,0.1020133,0.2332733
0.0004,0.1020267,0.2279933
0.00045000000000000004,0.1008467,0.2304
0.0005,0.1007333,0.2262267
0.00055,0.10204,0.23432
0.0006000000000000001,0.1019733,0.2283067
0.0006500000000000001,0.09985999,0.2184266
0.0007,0.1003067,0.21504
0.00075,0.09921332,0.2223466
0.0008,0.09985999,0.21814
0.0008500000000000001,0.09847333,0.21454
0.0009000000000000001,0.09796,0.2127533
0.00095,0.09938666,0.2213
0.001,0.09901333,0.2204
0.0010500000000000002,0.10052,0.23288
0.0011,0.1000467,0.2325533
0.00115,0.1022067,0.2436666
0.0012000000000000001,0.10262,0.2401333
0.00125,0.10172,0.23576
0.0013000000000000002,0.10168,0.2349467
0.00135,0.1045467,0.2424867
0.0014,0.1050467,0.2394533
0.0014500000000000001,0.1033867,0.2296533
0.0015,0.1038067,0.22504
0.0015500000000000002,0.1026333,0.23186
0.0016,0.1033867,0.2293933
0.00165,0.1014333,0.2253267
0.0017000000000000001,0.1012733,0.2237066
0.00175,0.1028333,0.23164
0.0018000000000000002,0.10304,0.2291533
0.00185,0.10122,0.2191333
0.0019,0.1016133,0.2194466
0.0019500000000000001,0.09997999,0.2096133
0.002,0.1004667,0.2117067
0.00205,0.09794666,0.2057866
0.0021000000000000003,0.09769332,0.2059067
0.00215,0.09875999,0.2138133
0.0022,0.09886666,0.2118267
0.0022500000000000003,0.09812666,0.20822
0.0023,0.09813999,0.2074466
0.00235,0.09910666,0.2152067
0.0024000000000000002,0.09903999,0.2129733
0.00245,0.09771999,0.2092733
0.0025,0.09757333,0.2074733
0.00255,0.09856666,0.2141667
0.0026000000000000003,0.09871332,0.20912
0.00265,0.09739999,0.2120733
0.0027,0.09701999,0.21022
0.0027500000000000003,0.09836666,0.2173933
0.0028,0.09860666,0.21292
0.00285,0.09787999,0.2159667
0.0029000000000000002,0.09777333,0.2156667
0.00295,0.0992,0.19938
0.003,0.09917333,0.2007267
0.00305,0.09731333,0.1896333
0.0031000000000000003,0.09766666,0.1920333
0.00315,0.09701999,0.1846133
0.0032,0.09778666,0.1864267
0.0032500000000000003,0.09641333,0.1812933
0.0033,0.09627999,0.1853933
0.00335,0.09701999,0.1802333
0.0034000000000000002,0.09703333,0.1790333
0.0034500000000000004,0.09583332,0.1837067
0.0035,0.09544666,0.1797333
0.00355,0.09635999,0.1845867
0.0036000000000000003,0.09638666,0.1787933
0.00365,0.09537999,0.18372
0.0037,0.09514666,0.1793333
0.0037500000000000003,0.09604,0.1844933
0.0038,0.0962,0.17848
0.00385,0.09510666,0.1841267
0.0039000000000000003,0.09503999,0.1791867
0.00395,0.09736666,0.1895667
0.004,0.09695332,0.18836
0.00405,0.09774666,0.19584
0.0041,0.09701999,0.19172
0.00415,0.09917333,0.19772
0.004200000000000001,0.09976666,0.1920867
0.00425,0.09833999,0.19802
0.0043,0.09883999,0.1952666
0.004350000000000001,0.09685999,0.1832133
0.0044,0.09724666,0.1836067
0.00445,0.09451333,0.1732
0.0045000000000000005,0.09494666,0.1708467
0.00455,0.09408666,0.1762467
0.0046,0.09487999,0.1705067
0.0046500000000000005,0.09313999,0.1769533
0.0047,0.09280666,0.1712133
0.00475,0.09384,0.1764133
0.0048000000000000004,0.09347999,0.1752133
0.00485,0.09510666,0.1883866
0.0049,0.09412666,0.1818667
0.00495,0.09577999,0.1874067
0.005,0.09615999,0.1817867
0.005050000000000001,0.09443333,0.18864
