Time (s),Voltage (V)
0.0,0.6206933
0.002,0.27792
0.004,0.8737866
0.006,0.2722133
0.008,0.2726933
0.01,0.8737866
0.012,0.8737866
0.014,0.2741067
0.016,0.8737866
0.018000000000000002,0.2745866
0.02,0.7680799
0.022,0.7290933
0.024,0.7495199
0.026000000000000002,0.7224266
0.028,0.72672
0.03,0.7733066
0.032,0.7642666
0.034,0.7309866
0.036000000000000004,0.7675999
0.038,0.7286133
0.04,0.7243466
0.042,0.7614133
0.044,0.7770933
0.046,0.7400266
0.048,0.71864
0.05,0.8037333
0.052000000000000005,0.7737866
0.054,0.7153066
0.056,0.7362133
0.058,0.7975466
0.06,0.7885066
0.062,0.68344
0.064,0.7309866
0.066,0.8037333
0.068,0.7980266
0.07,0.7300533
0.07200000000000001,0.7799466
0.074,0.7205333
0.076,0.7205333
0.078,0.7737866
0.08,0.7751999
0.082,0.7305066
0.084,0.7205333
0.08600000000000001,0.7704533
0.088,0.7737866
0.09,0.7200533
0.092,0.7219466
0.094,0.7785333
0.096,0.7866133
0.098,0.7205333
0.1,0.78328
0.10200000000000001,0.7129333
0.10400000000000001,0.78376
0.106,0.7224266
0.108,0.8022933
0.11,0.7195733
0.112,0.7894666
0.114,0.71768
0.116,0.7343199
0.11800000000000001,0.8061066
0.12,0.7357333
0.122,0.7818666
0.124,0.7690133
0.126,0.7229066
0.128,0.7229066
0.13,0.7861333
0.132,0.7690133
0.134,0.7252799
0.136,0.7229066
0.138,0.7761599
0.14,0.7604799
0.14200000000000002,0.7200533
0.14400000000000002,0.7229066
0.146,0.7842399
0.148,0.70864
0.15,0.7790133
0.152,0.7138666
0.154,0.7894666
0.156,0.7219466
0.158,0.8046933
0.16,0.7129333
0.162,0.7932799
0.164,0.6725066
0.166,0.7842399
0.168,0.7171999
0.17,0.7818666
0.17200000000000001,0.80136
0.17400000000000002,0.7200533
0.176,0.80136
0.178,0.7210133
0.18,0.7951733
0.182,0.7229066
0.184,0.7476266
0.186,0.7038933
0.188,0.7828
0.19,0.7238666
0.192,0.7114933
0.194,0.7462133
0.196,0.79136
0.198,0.7057866
0.2,0.70864
0.202,0.7595199
0.20400000000000001,0.8056266
0.20600000000000002,0.70864
0.20800000000000002,0.79992
0.21,0.7038933
0.212,0.7029333
0.214,0.808
0.216,0.7129333
0.218,0.79184
0.22,0.7985066
0.222,0.70008
