Time (s),CH2 Voltage (V),CH3 Voltage (V)
-0.1,0.004433333,0.009879999
-0.0998,0.005026666,0.009713333
-0.09960000000000001,0.004526666,0.009726666
-0.0994,0.00546,0.01034
-0.09920000000000001,0.004826666,0.01031333
-0.099,0.00558,0.009699999
-0.0988,0.00558,0.01034
-0.09860000000000001,0.00496,0.009699999
-0.0984,0.005513333,0.009779999
-0.09820000000000001,0.0048,0.01039333
-0.098,0.004666667,0.00974
-0.09780000000000001,0.005353333,0.01042
-0.0976,0.00528,0.009766666
-0.0974,0.004579999,0.01040667
-0.09720000000000001,0.004313333,0.01042
-0.097,0.005306666,0.009826666
-0.09680000000000001,0.005646666,0.01036667
-0.0966,0.004759999,0.009779999
-0.0964,0.004746666,0.01039333
-0.09620000000000001,0.005566666,0.009766666
-0.096,0.005513333,0.01038
-0.09580000000000001,0.00454,0.009753332
-0.0956,0.00516,0.01031333
-0.09540000000000001,0.00426,0.009699999
-0.0952,0.004246667,0.01036667
-0.095,0.00504,0.009726666
-0.09480000000000001,0.004773333,0.01040667
-0.0946,0.00384,0.009713333
-0.09440000000000001,0.004006667,0.009713333
-0.0942,0.00484,0.01032667
-0.094,0.004193333,0.009699999
-0.09380000000000001,0.004973333,0.01035333
-0.0936,0.004733333,0.009726666
-0.09340000000000001,0.003853333,0.01036667
-0.0932,0.003866666,0.01035333
-0.093,0.004706666,0.009726666
-0.09280000000000001,0.004006667,0.01035333
-0.0926,0.005026666,0.009753332
-0.09240000000000001,0.004553333,0.009726666
-0.0922,0.005186666,0.01038
-0.092,0.00542,0.009753332
-0.0918,0.004566666,0.01036667
-0.0916,0.005213333,0.01036667
-0.09140000000000001,0.004553333,0.009699999
-0.0912,0.004593333,0.009726666
-0.091,0.00542,0.01034
-0.0908,0.005266666,0.009753332
-0.0906,0.0043,0.01040667
-0.09040000000000001,0.004486667,0.009766666
-0.0902,0.005306666,0.01039333
-0.09000000000000001,0.004786666,0.009766666
-0.0898,0.00554,0.01039333
-0.0896,0.005566666,0.009799999
-0.08940000000000001,0.004786666,0.01042
-0.0892,0.004813333,0.00974
-0.08900000000000001,0.005846666,0.01040667
-0.0888,0.005966666,0.01035333
-0.08860000000000001,0.005226666,0.00974
-0.0884,0.00538,0.01036667
-0.0882,0.00624,0.00974
-0.08800000000000001,0.005966666,0.01040667
-0.0878,0.004773333,0.009713333
-0.08760000000000001,0.004813333,0.01035333
-0.0874,0.005633333,0.009726666
-0.0872,0.005406666,0.01032667
-0.08700000000000001,0.004579999,0.009699999
-0.0868,0.00512,0.009713333
-0.08660000000000001,0.004086666,0.01031333
-0.0864,0.004646666,0.009659999
-0.0862,0.00396,0.01028667
-0.08600000000000001,0.004593333,0.009673333
-0.0858,0.003946667,0.01034
-0.08560000000000001,0.004006667,0.009699999
-0.0854,0.00484,0.01028667
-0.0852,0.004046666,0.01031333
-0.085,0.004853333,0.009633332
-0.0848,0.004393333,0.009686666
-0.08460000000000001,0.005293333,0.01035333
-0.0844,0.00468,0.009699999
-0.0842,0.00546,0.01034
-0.084,0.005013333,0.009686666
-0.08380000000000001,0.006039999,0.01042
-0.08360000000000001,0.0059,0.01034
-0.0834,0.004879999,0.00974
-0.0832,0.005446666,0.009726666
-0.083,0.004593333,0.01042
-0.08280000000000001,0.0045,0.01036667
-0.0826,0.005353333,0.00974
-0.0824,0.004593333,0.01042
-0.08220000000000001,0.005253333,0.009686666
-0.082,0.004759999,0.01036667
-0.08180000000000001,0.005806666,0.009726666
-0.0816,0.005753333,0.01036667
-0.0814,0.00504,0.009766666
-0.08120000000000001,0.004946666,0.009726666
-0.081,0.005873333,0.01040667
-0.08080000000000001,0.00524,0.01040667
-0.0806,0.006266666,0.009726666
-0.0804,0.00542,0.009753332
-0.08020000000000001,0.006279999,0.01036667
-0.08,0.006346666,0.009726666
-0.07980000000000001,0.005673333,0.01038
-0.0796,0.00532,0.01036667
-0.0794,0.006186666,0.009766666
-0.0792,0.006106666,0.00974
-0.079,0.00516,0.01039333
-0.07880000000000001,0.005619999,0.009713333
-0.0786,0.004813333,0.01039333
-0.0784,0.005513333,0.009753332
-0.0782,0.004706666,0.01034
-0.078,0.004579999,0.009699999
-0.07780000000000001,0.005353333,0.01036667
-0.0776,0.004746666,0.01038
-0.0774,0.005566666,0.009713333
-0.0772,0.005619999,0.01039333
-0.07700000000000001,0.004773333,0.009753332
-0.07680000000000001,0.00504,0.009726666
-0.0766,0.005913333,0.01036667
-0.07640000000000001,0.005913333,0.009766666
-0.0762,0.004853333,0.01036667
-0.07600000000000001,0.004973333,0.009753332
-0.0758,0.006053333,0.01039333
-0.0756,0.00594,0.009799999
-0.07540000000000001,0.005266666,0.01048
-0.0752,0.005226666,0.009826666
-0.07500000000000001,0.006093333,0.01043333
-0.0748,0.006213333,0.01042
-0.0746,0.005446666,0.009799999
-0.07440000000000001,0.006093333,0.009826666
-0.0742,0.00484,0.01046667
-0.07400000000000001,0.005619999,0.01042
-0.0738,0.004693333,0.009799999
-0.0736,0.004973333,0.009779999
-0.0734,0.005686666,0.01039333
-0.0732,0.005053333,0.01039333
-0.07300000000000001,0.005726666,0.009779999
-0.0728,0.005253333,0.01040667
-0.0726,0.006066666,0.009799999
-0.0724,0.006159999,0.009779999
-0.0722,0.005306666,0.01040667
-0.07200000000000001,0.00516,0.01046667
-0.0718,0.006039999,0.009799999
-0.0716,0.00602,0.009799999
-0.0714,0.005133333,0.01040667
-0.0712,0.005066666,0.009766666
-0.07100000000000001,0.005979999,0.01040667
-0.0708,0.005913333,0.009799999
-0.0706,0.004973333,0.01043333
-0.0704,0.005606666,0.01036667
-0.07020000000000001,0.004759999,0.00974
-0.07,0.004666667,0.01039333
-0.0698,0.005433333,0.009753332
-0.06960000000000001,0.005513333,0.00974
-0.0694,0.004853333,0.01035333
-0.06920000000000001,0.004773333,0.009673333
-0.069,0.00554,0.01035333
-0.0688,0.005013333,0.01036667
-0.0686,0.005913333,0.009699999
-0.0684,0.005713333,0.009713333
-0.06820000000000001,0.005066666,0.01034
-0.068,0.005766666,0.009753332
-0.0678,0.005026666,0.01040667
-0.06760000000000001,0.005753333,0.009779999
-0.0674,0.00484,0.01039333
-0.06720000000000001,0.004693333,0.009813333
-0.067,0.00546,0.01038
-0.0668,0.005013333,0.01040667
-0.0666,0.0057,0.009799999
-0.0664,0.004946666,0.009766666
-0.06620000000000001,0.0057,0.01040667
-0.066,0.005053333,0.01038
-0.0658,0.006066666,0.00974
-0.0656,0.005886666,0.009766666
-0.06540000000000001,0.00462,0.01039333
-0.06520000000000001,0.004513333,0.01038
-0.065,0.005473333,0.009753332
-0.0648,0.004906666,0.01039333
-0.0646,0.005553333,0.009766666
-0.06440000000000001,0.005026666,0.01039333
-0.06420000000000001,0.006186666,0.009726666
-0.064,0.006293333,0.01038
-0.0638,0.00538,0.009766666
-0.0636,0.00524,0.009766666
-0.06340000000000001,0.00636,0.01039333
-0.0632,0.006253333,0.009779999
-0.063,0.0052,0.01043333
-0.0628,0.005266666,0.00974
-0.0626,0.00632,0.01036667
-0.062400000000000004,0.006226666,0.009713333
-0.062200000000000005,0.00524,0.01038
-0.062000000000000006,0.005226666,0.009713333
-0.0618,0.005913333,0.01032667
-0.0616,0.005766666,0.01036667
-0.0614,0.004759999,0.009713333
-0.061200000000000004,0.0052,0.01032667
-0.061000000000000006,0.00454,0.009713333
-0.06080000000000001,0.00496,0.009686666
-0.0606,0.004113333,0.01035333
-0.0604,0.004813333,0.009686666
-0.060200000000000004,0.00402,0.01039333
-0.060000000000000005,0.00446,0.009753332
-0.059800000000000006,0.003773333,0.01042
-0.0596,0.003893333,0.009766666
-0.0594,0.004746666,0.01039333
-0.0592,0.003866666,0.009753332
-0.059000000000000004,0.00472,0.01040667
-0.058800000000000005,0.004206666,0.01042
-0.058600000000000006,0.00528,0.009813333
-0.0584,0.004579999,0.009799999
-0.0582,0.0057,0.01046667
-0.058,0.005726666,0.01046667
-0.057800000000000004,0.004813333,0.009813333
-0.057600000000000005,0.005066666,0.009799999
-0.05740000000000001,0.005739999,0.01043333
-0.0572,0.005686666,0.009799999
-0.057,0.00472,0.01043333
-0.0568,0.00532,0.01040667
-0.056600000000000004,0.004433333,0.009799999
-0.056400000000000006,0.004313333,0.01038
-0.05620000000000001,0.00512,0.00974
-0.056,0.004646666,0.01038
-0.0558,0.005873333,0.009779999
-0.055600000000000004,0.005306666,0.01044667
-0.055400000000000005,0.006066666,0.009779999
