Time (s),Voltage (V)
0.0,0.1718
0.002,0.1197333
0.004,0.1164667
0.006,0.2108
0.008,0.2292666
0.01,0.1338
0.012,0.1143333
0.014,0.1880666
0.016,0.1945333
0.018000000000000002,0.1219333
0.02,0.1186667
0.022,0.1978
0.024,0.2064666
0.026000000000000002,0.1240667
0.028,0.1164667
0.03,0.2119333
0.032,0.2173333
0.034,0.1251333
0.036000000000000004,0.2346666
0.038,0.1164667
0.04,0.1349333
0.042,0.2162666
0.044,0.226
0.046,0.1197333
0.048,0.1262667
0.05,0.2162666
0.052000000000000005,0.1164667
0.054,0.2140666
0.056,0.1197333
0.058,0.2097333
0.06,0.2032
0.062,0.1132
0.064,0.1110667
0.066,0.1967333
0.068,0.1164667
0.07,0.1772
0.07200000000000001,0.1132
0.074,0.2010666
0.076,0.1132
0.078,0.1728666
0.08,0.1132
0.082,0.2162666
0.084,0.2064666
0.08600000000000001,0.1164667
0.088,0.1175333
0.09,0.2162666
0.092,0.2119333
0.094,0.1175333
0.096,0.226
0.098,0.1208
0.1,0.2184
0.10200000000000001,0.1197333
0.10400000000000001,0.1219333
0.106,0.2357333
0.108,0.1251333
0.11,0.2216666
0.112,0.1186667
0.114,0.1924
0.116,0.1240667
0.11800000000000001,0.1945333
0.12,0.1902
0.122,0.1197333
0.124,0.2010666
0.126,0.123
0.128,0.1219333
0.13,0.1913333
0.132,0.2216666
0.134,0.1370666
0.136,0.1186667
0.138,0.2238
0.14,0.1262667
0.14200000000000002,0.2292666
0.14400000000000002,0.1197333
0.146,0.2270667
0.148,0.1240667
0.15,0.2270667
0.152,0.1316667
0.154,0.2270667
0.156,0.1306
0.158,0.2140666
0.16,0.2216666
0.162,0.1219333
0.164,0.2249333
0.166,0.1284
0.168,0.1208
0.17,0.2162666
0.17200000000000001,0.1924
0.17400000000000002,0.1219333
0.176,0.1251333
0.178,0.1956666
0.18,0.2054
0.182,0.123
0.184,0.1902
0.186,0.1154
0.188,0.1208
0.19,0.2270667
0.192,0.2368666
0.194,0.1197333
0.196,0.226
0.198,0.1175333
0.2,0.2270667
0.202,0.1327333
0.20400000000000001,0.1262667
0.20600000000000002,0.2216666
0.20800000000000002,0.1251333
0.21,0.2270667
0.212,0.2270667
0.214,0.1251333
0.216,0.2043333
0.218,0.1219333
0.22,0.2021333
0.222,0.123
0.224,0.1208
0.226,0.1891333
0.228,0.1728666
0.23,0.1164667
0.232,0.1815333
0.234,0.1121333
0.23600000000000002,0.1197333
0.23800000000000002,0.2173333
0.24,0.1219333
0.242,0.213
0.244,0.1251333
0.246,0.2162666
0.248,0.2314
0.25,0.1262667
0.252,0.2314
0.254,0.1186667
0.256,0.2314
0.258,0.1273333
0.26,0.2249333
0.262,0.1327333
0.264,0.1262667
0.266,0.2173333
0.268,0.2400666
0.27,0.1414
0.272,0.1306
0.274,0.2216666
0.276,0.1240667
0.278,0.2043333
0.28,0.1327333
0.28200000000000003,0.2021333
0.28400000000000003,0.1891333
0.28600000000000003,0.1273333
0.28800000000000003,0.1306
0.29,0.1956666
0.292,0.136
0.294,0.2314
0.296,0.1349333
0.298,0.2054
0.3,0.1327333
0.302,0.2270667
0.304,0.1251333
0.306,0.239
0.308,0.1327333
0.31,0.2444666
0.312,0.1392667
0.314,0.2292666
0.316,0.2412
0.318,0.136
0.32,0.2368666
0.322,0.1392667
0.324,0.2270667
0.326,0.1370666
0.328,0.136
0.33,0.2108
0.332,0.136
0.334,0.2227333
0.336,0.1967333
0.338,0.1370666
0.34,0.2184
0.342,0.1425333
0.34400000000000003,0.2076
0.34600000000000003,0.1338
0.34800000000000003,0.1392667
0.35000000000000003,0.2325333
0.352,0.2444666
0.354,0.1316667
0.356,0.2574666
0.358,0.1446667
0.36,0.1436
0.362,0.2368666
0.364,0.136
0.366,0.2412
0.368,0.1327333
0.37,0.2325333
0.372,0.2325333
0.374,0.1425333
0.376,0.2173333
0.378,0.1273333
0.38,0.1306
0.382,0.2216666
0.384,0.2086667
0.386,0.1327333
0.388,0.2054
0.39,0.1284
0.392,0.1294667
0.394,0.1945333
0.396,0.1294667
0.398,0.2173333
0.4,0.1284
0.402,0.2216666
0.404,0.1316667
0.406,0.2270667
0.40800000000000003,0.1403333
0.41000000000000003,0.2314
0.41200000000000003,0.2325333
