Time (s),Voltage (V)
0.0,0.1294667
0.002,0.1880666
0.004,0.1837333
0.006,0.06879999
0.008,0.07959999
0.01,0.1837333
0.012,0.1782666
0.014,0.06333333
0.016,0.06766666
0.018000000000000002,0.1739333
0.02,0.06439999
0.022,0.1696
0.024,0.06766666
0.026000000000000002,0.1642
0.028,0.06659999
0.03,0.1772
0.032,0.07313333
0.034,0.1728666
0.036000000000000004,0.07093333
0.038,0.1685333
0.04,0.1739333
0.042,0.06226666
0.044,0.07313333
0.046,0.1826
0.048,0.1772
0.05,0.06226666
0.052000000000000005,0.1826
0.054,0.09586666
0.056,0.1815333
0.058,0.06553333
0.06,0.1815333
0.062,0.08286666
0.064,0.1674667
0.066,0.06986666
0.068,0.1718
0.07,0.07526666
0.07200000000000001,0.1794
0.074,0.06879999
0.076,0.07633333
0.078,0.1782666
0.08,0.07526666
0.082,0.1739333
0.084,0.1718
0.08600000000000001,0.07313333
0.088,0.06986666
0.09,0.1782666
0.092,0.07313333
0.094,0.1750666
0.096,0.1728666
0.098,0.08286666
0.1,0.06553333
0.10200000000000001,0.1782666
0.10400000000000001,0.1815333
0.106,0.08719999
0.108,0.07526666
0.11,0.1761333
0.112,0.1794
0.114,0.08939999
0.116,0.06986666
0.11800000000000001,0.1761333
0.12,0.07633333
0.122,0.1782666
0.124,0.06986666
0.126,0.1782666
0.128,0.07526666
0.13,0.1728666
0.132,0.06006666
0.134,0.1642
0.136,0.1815333
0.138,0.07419999
0.14,0.1761333
0.14200000000000002,0.06986666
0.14400000000000002,0.06986666
0.146,0.1815333
0.148,0.1685333
0.15,0.07093333
0.152,0.06986666
0.154,0.1815333
0.156,0.1891333
0.158,0.06553333
0.16,0.07633333
0.162,0.1739333
0.164,0.1858667
0.166,0.06119999
0.168,0.06986666
0.17,0.1837333
0.17200000000000001,0.1674667
0.17400000000000002,0.06986666
0.176,0.07199999
0.178,0.1696
0.18,0.1685333
0.182,0.07093333
0.184,0.07853333
0.186,0.1869333
0.188,0.1782666
0.19,0.07313333
0.192,0.08066666
0.194,0.1718
0.196,0.1815333
0.198,0.09259999
0.2,0.1706666
0.202,0.06879999
0.20400000000000001,0.07746666
0.20600000000000002,0.1761333
0.20800000000000002,0.1728666
0.21,0.06333333
0.212,0.09153333
0.214,0.1913333
0.216,0.1761333
0.218,0.06119999
0.22,0.08393332
0.222,0.1804667
0.224,0.06333333
0.226,0.1414
0.228,0.1739333
0.23,0.07526666
0.232,0.07093333
0.234,0.1794
0.23600000000000002,0.07313333
0.23800000000000002,0.1706666
0.24,0.07633333
0.242,0.1750666
0.244,0.08393332
0.246,0.1826
0.248,0.1728666
0.25,0.07199999
0.252,0.1815333
0.254,0.08066666
0.256,0.07633333
0.258,0.1728666
0.26,0.06986666
0.262,0.1609333
0.264,0.1794
0.266,0.07526666
0.268,0.06006666
0.27,0.1794
0.272,0.1794
0.274,0.06439999
0.276,0.06986666
0.278,0.1685333
0.28,0.1815333
0.28200000000000003,0.07746666
0.28400000000000003,0.1772
0.28600000000000003,0.06439999
0.28800000000000003,0.1034667
0.29,0.1869333
0.292,0.1761333
0.294,0.09046666
0.296,0.08613332
0.298,0.1869333
0.3,0.07633333
0.302,0.1728666
0.304,0.07093333
0.306,0.1782666
0.308,0.1826
0.31,0.07313333
0.312,0.07419999
0.314,0.1794
0.316,0.1555333
0.318,0.06439999
0.32,0.07313333
0.322,0.1782666
0.324,0.06879999
0.326,0.1576667
0.328,0.07633333
0.33,0.1750666
0.332,0.1761333
0.334,0.06766666
0.336,0.1848
0.338,0.07313333
0.34,0.06439999
0.342,0.1772
0.34400000000000003,0.1869333
0.34600000000000003,0.06879999
0.34800000000000003,0.1815333
0.35000000000000003,0.08179999
0.352,0.1804667
0.354,0.07746666
0.356,0.08939999
0.358,0.1782666
0.36,0.08179999
0.362,0.1761333
0.364,0.07853333
0.366,0.1642
0.368,0.06553333
0.37,0.1576667
0.372,0.1728666
0.374,0.06659999
0.376,0.06439999
0.378,0.1652666
0.38,0.1782666
0.382,0.07853333
0.384,0.07633333
0.386,0.1761333
0.388,0.08179999
0.39,0.1750666
0.392,0.07419999
0.394,0.1848
0.396,0.1837333
0.398,0.07526666
0.4,0.07093333
0.402,0.1891333
0.404,0.1782666
0.406,0.06986666
0.40800000000000003,0.1782666
0.41000000000000003,0.08719999
0.41200000000000003,0.1837333
0.41400000000000003,0.07313333
0.41600000000000004,0.07093333
0.418,0.1609333
0.42,0.1739333
0.422,0.06439999
0.424,0.06766666
0.426,0.1436
0.428,0.06226666
0.43,0.1728666
0.432,0.1706666
0.434,0.07093333
0.436,0.1728666
0.438,0.07313333
0.44,0.1739333
0.442,0.07419999
0.444,0.1945333
0.446,0.08393332
0.448,0.1782666
0.45,0.08393332
0.452,0.07313333
0.454,0.1794
0.456,0.07746666
0.458,0.1750666
0.46,0.08499999
0.462,0.1815333
0.464,0.1869333
0.466,0.07526666
0.468,0.1706666
0.47000000000000003,0.06986666
0.47200000000000003,0.1512
0.47400000000000003,0.06766666
0.47600000000000003,0.06553333
0.47800000000000004,0.1566
0.48,0.1436
0.482,0.06553333
0.484,0.06986666
0.486,0.1750666
0.488,0.1598666
0.49,0.08066666
0.492,0.07633333
0.494,0.1750666
0.496,0.1815333
0.498,0.07853333
0.5,0.06986666
0.502,0.1826
0.504,0.1869333
0.506,0.09479999
0.508,0.1609333
0.51,0.06879999
0.512,0.1804667
0.514,0.07633333
0.516,0.1685333
0.518,0.07853333
0.52,0.07526666
0.522,0.1718
0.524,0.07526666
0.526,0.1706666
0.528,0.1750666
0.53,0.06006666
0.532,0.1706666
0.534,0.07093333
0.536,0.06986666
0.538,0.1782666
0.54,0.1718
0.542,0.07313333
0.544,0.07959999
0.546,0.1837333
0.548,0.08066666
0.55,0.1728666
0.552,0.07526666
0.554,0.1891333
0.556,0.1674667
0.558,0.07853333
0.56,0.06659999
0.562,0.1739333
0.5640000000000001,0.1728666
0.5660000000000001,0.07526666
0.5680000000000001,0.07526666
0.5700000000000001,0.1750666
0.5720000000000001,0.1782666
0.5740000000000001,0.06766666
0.5760000000000001,0.07853333
0.578,0.1642
0.58,0.1837333
0.582,0.06659999
0.584,0.07093333
0.586,0.1555333
0.588,0.1782666
0.59,0.07093333
0.592,0.07419999
0.594,0.1566
0.596,0.1794
0.598,0.07313333
0.6,0.162
0.602,0.07853333
0.604,0.1794
0.606,0.06226666
0.608,0.1728666
0.61,0.08286666
0.612,0.08179999
0.614,0.1869333
0.616,0.1794
0.618,0.08939999
0.62,0.08939999
0.622,0.1837333
0.624,0.1761333
0.626,0.07419999
0.628,0.1728666
0.63,0.07093333
0.632,0.1588
0.634,0.07313333
0.636,0.06986666
0.638,0.1718
0.64,0.07093333
0.642,0.1436
0.644,0.06439999
0.646,0.1869333
0.648,0.1761333
0.65,0.07093333
0.652,0.07746666
0.654,0.1869333
0.656,0.1685333
0.658,0.08066666
0.66,0.06553333
0.662,0.1858667
0.664,0.1858667
0.666,0.08499999
0.668,0.1761333
0.67,0.07419999
0.672,0.1739333
0.674,0.06986666
0.676,0.08066666
0.678,0.1772
0.68,0.1782666
0.682,0.07199999
0.684,0.06879999
0.686,0.1436
0.6880000000000001,0.07093333
0.6900000000000001,0.1880666
0.6920000000000001,0.06986666
0.6940000000000001,0.1815333
0.6960000000000001,0.07093333
0.6980000000000001,0.1848
0.7000000000000001,0.1674667
0.7020000000000001,0.06766666
0.704,0.08179999
0.706,0.1934666
0.708,0.07853333
0.71,0.1652666
0.712,0.07419999
0.714,0.1815333
0.716,0.1750666
0.718,0.07313333
0.72,0.07093333
0.722,0.1815333
0.724,0.1848
0.726,0.08179999
0.728,0.07093333
0.73,0.1761333
0.732,0.1891333
0.734,0.07313333
0.736,0.07093333
0.738,0.1782666
0.74,0.1837333
0.742,0.07313333
0.744,0.06766666
0.746,0.1794
0.748,0.1891333
0.75,0.06439999
0.752,0.07199999
0.754,0.1794
0.756,0.1891333
0.758,0.08179999
0.76,0.06553333
0.762,0.1945333
0.764,0.1739333
0.766,0.06333333
0.768,0.1728666
0.77,0.06766666
0.772,0.06766666
0.774,0.1782666
0.776,0.1685333
0.778,0.07419999
0.78,0.06879999
0.782,0.1880666
0.784,0.1804667
0.786,0.07633333
0.788,0.07853333
0.79,0.1804667
0.792,0.1880666
0.794,0.06333333
0.796,0.07853333
0.798,0.1837333
0.8,0.1696
0.802,0.06766666
0.804,0.08719999
0.806,0.2
0.808,0.1902
0.81,0.06986666
0.812,0.06986666
0.8140000000000001,0.1891333
0.8160000000000001,0.1902
0.8180000000000001,0.07853333
0.8200000000000001,0.07746666
0.8220000000000001,0.1750666
0.8240000000000001,0.06659999
0.8260000000000001,0.1706666
0.8280000000000001,0.07313333
0.8300000000000001,0.1782666
0.8320000000000001,0.08179999
0.834,0.1837333
0.836,0.06986666
0.838,0.149
0.84,0.08393332
0.842,0.1869333
0.844,0.07199999
0.846,0.1588
0.848,0.1924
0.85,0.08179999
0.852,0.06879999
0.854,0.1772
0.856,0.1880666
0.858,0.07093333
0.86,0.06553333
0.862,0.1718
0.864,0.1902
0.866,0.08499999
0.868,0.1837333
0.87,0.07199999
0.872,0.1804667
0.874,0.07633333
0.876,0.1848
0.878,0.08179999
0.88,0.1804667
0.882,0.07093333
0.884,0.07199999
0.886,0.1761333
0.888,0.1891333
0.89,0.08393332
0.892,0.1858667
0.894,0.07093333
0.896,0.06766666
0.898,0.1728666
0.9,0.1794
0.902,0.07746666
0.904,0.07853333
0.906,0.1880666
0.908,0.1945333
0.91,0.07633333
0.912,0.07093333
0.914,0.1934666
0.916,0.1934666
0.918,0.07746666
0.92,0.06986666
0.922,0.1826
0.924,0.06986666
0.926,0.1782666
0.928,0.07313333
0.93,0.1588
0.932,0.07419999
0.934,0.1772
0.936,0.1880666
0.9380000000000001,0.06986666
0.9400000000000001,0.1891333
0.9420000000000001,0.07526666
0.9440000000000001,0.1815333
0.9460000000000001,0.07526666
0.9480000000000001,0.07633333
0.9500000000000001,0.1804667
0.9520000000000001,0.1934666
0.9540000000000001,0.08939999
0.9560000000000001,0.08826666
0.9580000000000001,0.1739333
0.96,0.1924
0.962,0.06986666
0.964,0.1056667
0.966,0.2010666
0.968,0.2021333
0.97,0.07199999
0.972,0.07526666
0.974,0.1924
0.976,0.1869333
0.978,0.06986666
0.98,0.1826
0.982,0.06766666
0.984,0.06553333
0.986,0.1761333
0.988,0.07526666
0.99,0.1794
0.992,0.07313333
0.994,0.1913333
0.996,0.07093333
0.998,0.1718
1.0,0.08613332
1.002,0.1837333
1.004,0.1696
1.006,0.07199999
1.008,0.08719999
1.01,0.1869333
1.012,0.1902
1.014,0.09586666
1.016,0.1848
1.018,0.09806666
1.02,0.06766666
1.022,0.1837333
1.024,0.1902
1.026,0.08179999
1.028,0.1782666
1.03,0.06879999
1.032,0.1924
1.034,0.07093333
1.036,0.1848
1.038,0.06986666
1.04,0.1913333
1.042,0.06439999
1.044,0.07313333
1.046,0.1815333
1.048,0.06659999
1.05,0.1837333
1.052,0.07526666
1.054,0.1794
1.056,0.08499999
1.058,0.1848
1.06,0.08393332
1.062,0.1902
1.064,0.08719999
1.066,0.1848
1.068,0.08719999
1.07,0.1837333
1.072,0.08393332
1.074,0.1782666
1.076,0.07633333
1.078,0.1794
1.08,0.07853333
1.082,0.1837333
1.084,0.06659999
1.086,0.1978
1.088,0.07093333
1.09,0.1739333
1.092,0.07199999
1.094,0.1826
1.096,0.1782666
1.098,0.07199999
