Frequency (Hz),Vrms (V)
100,0.08868135897429516
500,0.08936043320308307
1000,0.09077368869087013
2000,0.09004213733241538
3000,0.08912944771720047
4000,0.09108672353030675
5000,0.08931025677503508
7000,0.08846870728764489
8000,0.08903786420087634
9000,0.08938429809842778
10000,0.09072068154238128
12000,0.08756494450393616
14000,0.0875633547181319
16000,0.08785549146252353
18000,0.08965791123191466
20000,0.08957066356729176
25000,0.08939604036566257
30000,0.08971637500178146
50000,0.08912043606417466
