Time (s),Voltage (V)
0.0,0.1403333
0.002,0.1522667
0.004,0.1750666
0.006,0.09373333
0.008,0.08179999
0.01,0.1566
0.012,0.1750666
0.014,0.09806666
0.016,0.08613332
0.018000000000000002,0.1598666
0.02,0.08393332
0.022,0.1782666
0.024,0.1750666
0.026000000000000002,0.08499999
0.028,0.08393332
0.03,0.1685333
0.032,0.1750666
0.034,0.08719999
0.036000000000000004,0.08719999
0.038,0.1750666
0.04,0.1815333
0.042,0.08613332
0.044,0.08393332
0.046,0.1685333
0.048,0.1706666
0.05,0.08939999
0.052000000000000005,0.07313333
0.054,0.1750666
0.056,0.1739333
0.058,0.08066666
0.06,0.09259999
0.062,0.1782666
0.064,0.1794
0.066,0.08719999
0.068,0.08179999
0.07,0.1739333
0.07200000000000001,0.1739333
0.074,0.09373333
0.076,0.1631333
0.078,0.08286666
0.08,0.1761333
0.082,0.08286666
0.084,0.1631333
0.08600000000000001,0.08613332
0.088,0.07853333
0.09,0.1761333
0.092,0.1772
0.094,0.08393332
0.096,0.09046666
0.098,0.1794
0.1,0.1598666
0.10200000000000001,0.07746666
0.10400000000000001,0.09259999
0.106,0.1782666
0.108,0.08939999
0.11,0.1500667
0.112,0.1056667
0.114,0.1869333
0.116,0.1598666
0.11800000000000001,0.08499999
0.12,0.08826666
0.122,0.1815333
0.124,0.1782666
0.126,0.09046666
0.128,0.08066666
0.13,0.1750666
0.132,0.1739333
0.134,0.08826666
0.136,0.08719999
0.138,0.1815333
0.14,0.1706666
0.14200000000000002,0.08939999
0.14400000000000002,0.08719999
0.146,0.1598666
0.148,0.1761333
0.15,0.09479999
0.152,0.1457333
0.154,0.08286666
0.156,0.1848
0.158,0.09806666
0.16,0.08719999
0.162,0.1674667
0.164,0.1761333
0.166,0.08393332
0.168,0.08393332
0.17,0.1739333
0.17200000000000001,0.1826
0.17400000000000002,0.09586666
0.176,0.08393332
0.178,0.1588
0.18,0.1750666
0.182,0.1186667
0.184,0.1631333
0.186,0.09693332
0.188,0.08066666
0.19,0.1706666
0.192,0.1761333
0.194,0.07853333
0.196,0.09046666
0.198,0.1826
0.2,0.1782666
0.202,0.08066666
0.20400000000000001,0.07419999
0.20600000000000002,0.1772
0.20800000000000002,0.1761333
0.21,0.09693332
0.212,0.09046666
0.214,0.1782666
0.216,0.1728666
0.218,0.08066666
0.22,0.09479999
0.222,0.1794
0.224,0.1782666
0.226,0.09479999
0.228,0.08179999
0.23,0.1858667
0.232,0.1750666
0.234,0.08613332
0.23600000000000002,0.08613332
0.23800000000000002,0.1706666
0.24,0.09259999
0.242,0.1794
0.244,0.149
0.246,0.08393332
0.248,0.09259999
0.25,0.1718
0.252,0.1631333
0.254,0.07853333
0.256,0.08286666
0.258,0.1815333
0.26,0.1761333
0.262,0.09373333
0.264,0.1002
0.266,0.1728666
0.268,0.1728666
0.27,0.08613332
0.272,0.1804667
0.274,0.1175333
0.276,0.1739333
0.278,0.07633333
0.28,0.08939999
0.28200000000000003,0.1804667
0.28400000000000003,0.1782666
0.28600000000000003,0.09373333
0.28800000000000003,0.08179999
0.29,0.1826
0.292,0.08939999
0.294,0.1706666
0.296,0.08499999
0.298,0.1718
0.3,0.1804667
0.302,0.09259999
0.304,0.09153333
0.306,0.1772
0.308,0.1815333
0.31,0.1088667
0.312,0.09373333
0.314,0.1815333
0.316,0.1837333
0.318,0.09259999
0.32,0.1012667
0.322,0.1782666
0.324,0.1837333
0.326,0.09479999
0.328,0.08613332
0.33,0.1826
0.332,0.1815333
0.334,0.09913332
0.336,0.08719999
0.338,0.1685333
0.34,0.1804667
0.342,0.09586666
0.34400000000000003,0.1782666
0.34600000000000003,0.08613332
0.34800000000000003,0.08286666
0.35000000000000003,0.1772
0.352,0.1804667
0.354,0.08179999
0.356,0.08179999
0.358,0.1728666
0.36,0.1132
0.362,0.1815333
0.364,0.08826666
0.366,0.1815333
0.368,0.1826
0.37,0.09373333
0.372,0.1012667
0.374,0.1869333
0.376,0.1761333
0.378,0.09046666
0.38,0.09693332
0.382,0.1869333
0.384,0.1804667
0.386,0.08066666
0.388,0.08719999
0.39,0.1837333
0.392,0.1804667
0.394,0.08613332
0.396,0.08613332
0.398,0.1902
0.4,0.09693332
0.402,0.1750666
0.404,0.162
0.406,0.07419999
0.40800000000000003,0.1154
0.41000000000000003,0.1869333
0.41200000000000003,0.1869333
0.41400000000000003,0.08719999
0.41600000000000004,0.08499999
0.418,0.1815333
0.42,0.1902
0.422,0.1045333
0.424,0.09259999
0.426,0.1794
0.428,0.1858667
0.43,0.09806666
0.432,0.1924
0.434,0.1056667
0.436,0.1750666
0.438,0.08066666
0.44,0.08719999
0.442,0.1826
0.444,0.1848
0.446,0.08286666
0.448,0.1826
0.45,0.09046666
0.452,0.1794
0.454,0.07093333
0.456,0.08179999
0.458,0.1782666
0.46,0.1078
0.462,0.1794
0.464,0.07746666
0.466,0.1761333
0.468,0.09693332
0.47000000000000003,0.1902
0.47200000000000003,0.1164667
0.47400000000000003,0.1815333
0.47600000000000003,0.1078
0.47800000000000004,0.1804667
0.48,0.1024
0.482,0.1891333
0.484,0.1848
0.486,0.11
0.488,0.09479999
0.49,0.1902
0.492,0.09913332
0.494,0.1804667
0.496,0.08179999
0.498,0.1663333
0.5,0.1837333
0.502,0.08826666
0.504,0.1815333
0.506,0.07959999
0.508,0.08613332
0.51,0.1826
0.512,0.1782666
0.514,0.07633333
0.516,0.08719999
0.518,0.1869333
0.52,0.1024
0.522,0.1869333
