Time (s),CH1 Voltage (V),CH2 Voltage (V),CH3 Voltage (V)
-0.0194,2.512266,-0.005653333,8.657732
-0.01935,2.5664,-0.01325333,8.581599
-0.0193,2.5664,-0.01136,8.592532
-0.019250000000000003,2.512266,-0.006586666,8.549066
-0.019200000000000002,2.498667,-0.01421333,8.561999
-0.01915,2.544,-0.004693333,8.522932
-0.019100000000000002,2.575466,-0.004693333,8.525065
-0.01905,2.5168,-0.01514667,8.551199
-0.019000000000000003,2.498667,-0.009919999,8.542533
-0.01895,2.584533,-0.00328,8.505599
-0.0189,2.557333,-0.01184,8.5208
-0.018850000000000002,2.512266,-0.004213333,8.490399
-0.0188,2.557333,-0.00232,8.485999
-0.018750000000000003,2.507733,-0.01184,8.518666
-0.0187,2.5032,-0.006133333,8.516399
-0.01865,2.575466,-0.01277333,8.479465
-0.018600000000000002,2.512266,-0.005173333,8.5208
-0.01855,2.561867,-0.01373333,8.479465
-0.018500000000000003,2.5168,-0.00328,8.483866
-0.01845,2.5664,-0.01706666,8.512133
-0.0184,2.557333,-0.004693333,8.518666
-0.01835,2.498667,-0.01469333,8.468666
-0.0183,2.5528,-0.005173333,8.509866
-0.018250000000000002,2.507733,-0.01229333,8.483866
-0.0182,2.5664,-0.01469333,8.470799
-0.01815,2.494133,-0.004693333,8.514266
-0.0181,2.498667,-0.01184,8.505599
-0.01805,2.561867,-0.004693333,8.481599
-0.018000000000000002,2.512266,-0.004693333,8.477332
-0.01795,2.557333,-0.0104,8.507732
-0.0179,2.5032,-0.01229333,8.501199
-0.01785,2.557333,-0.006133333,8.466399
-0.0178,2.498667,-0.0028,8.494666
-0.017750000000000002,2.5664,-0.01325333,8.468666
-0.0177,2.494133,-0.0028,8.475199
-0.01765,2.561867,-0.01325333,8.505599
-0.0176,2.570933,-0.005173333,8.479465
-0.017550000000000003,2.494133,-0.01229333,8.514266
-0.0175,2.557333,-0.00328,8.512133
-0.01745,2.5032,-0.01184,8.477332
-0.017400000000000002,2.557333,-0.01184,8.490399
-0.01735,2.5168,-0.003733333,8.462132
-0.017300000000000003,2.507733,-0.006133333,8.494666
-0.01725,2.575466,-0.01325333,8.462132
-0.0172,2.561867,-0.005173333,8.466399
-0.01715,2.507733,-0.01136,8.503332
-0.0171,2.557333,-0.01136,8.479465
-0.017050000000000003,2.512266,-0.005173333,8.505599
-0.017,2.557333,-0.01136,8.459999
-0.01695,2.507733,-0.003733333,8.494666
-0.016900000000000002,2.512266,-0.006133333,8.468666
-0.01685,2.561867,-0.01229333,8.494666
-0.016800000000000002,2.5528,-0.006586666,8.509866
-0.01675,2.5032,-0.01325333,8.468666
-0.0167,2.512266,-0.01325333,8.477332
-0.01665,2.557333,-0.006133333,8.509866
-0.0166,2.507733,-0.01277333,8.505599
-0.016550000000000002,2.557333,-0.006133333,8.472933
-0.0165,2.512266,-0.01277333,8.509866
-0.01645,2.557333,-0.004213333,8.477332
-0.0164,2.512266,-0.005173333,8.477332
-0.016350000000000003,2.561867,-0.01184,8.514266
-0.016300000000000002,2.5032,-0.01088,8.481599
-0.01625,2.5664,-0.003733333,8.507732
-0.0162,2.5528,-0.005173333,8.483866
-0.01615,2.4896,-0.01325333,8.509866
-0.016100000000000003,2.561867,-0.00328,8.479465
-0.016050000000000002,2.512266,-0.01136,8.525065
-0.016,2.512266,-0.006133333,8.503332
-0.01595,2.557333,-0.01277333,8.533866
-0.0159,2.512266,-0.003733333,8.488132
-0.015850000000000003,2.557333,-0.01184,8.525065
-0.0158,2.512266,-0.004693333,8.525065
-0.01575,2.5664,-0.01184,8.485999
-0.0157,2.557333,-0.00328,8.490399
-0.01565,2.507733,-0.01184,8.533866
-0.015600000000000001,2.5032,-0.01184,8.512133
-0.015550000000000001,2.561867,-0.00328,8.549066
-0.015500000000000002,2.557333,-0.003733333,8.568533
-0.01545,2.512266,-0.01184,8.527332
-0.0154,2.498667,-0.01184,8.546799
-0.01535,2.5664,-0.003733333,8.516399
-0.015300000000000001,2.5664,-0.003733333,8.533866
-0.015250000000000001,2.507733,-0.01184,8.499065
-0.015200000000000002,2.5168,-0.01325333,8.507732
-0.01515,2.561867,-0.004213333,8.553332
-0.0151,2.557333,-0.005173333,8.522932
-0.015050000000000001,2.507733,-0.01421333,8.555599
-0.015000000000000001,2.548266,-0.009439999,8.533866
-0.014950000000000001,-2.514666,-0.0004266666,12.5016
-0.0149,-2.438133,-0.0028,12.4864
-0.01485,-2.4968,0.009573333,12.46467
-0.0148,-2.438133,0.004346666,12.45813
-0.014750000000000001,-2.487733,0.01288,12.49507
-0.014700000000000001,-2.501333,0.01384,12.49293
-0.014650000000000002,-2.4424,0.00576,12.45587
-0.0146,-2.487733,0.01194667,12.49067
-0.01455,-2.4424,0.003866666,12.46467
-0.0145,-2.4336,0.01288,12.46467
-0.014450000000000001,-2.501333,0.006719999,12.48853
-0.014400000000000001,-2.438133,0.0148,12.49067
-0.014350000000000002,-2.4968,0.00576,12.45587
-0.0143,-2.4424,0.01432,12.4624
-0.01425,-2.487733,0.006719999,12.49507
-0.0142,-2.487733,0.01384,12.4864
-0.014150000000000001,-2.446933,0.0048,12.4668
-0.014100000000000001,-2.4424,0.01432,12.45373
-0.014050000000000002,-2.501333,0.004346666,12.49067
-0.014,-2.4424,0.003386667,12.45373
-0.01395,-2.4968,0.01098667,12.49507
-0.013900000000000001,-2.451466,0.01194667,12.49507
-0.013850000000000001,-2.4968,0.003386667,12.46027
-0.013800000000000002,-2.4968,0.001946667,12.49933
-0.01375,-2.424533,0.01005333,12.46027
-0.0137,-2.446933,0.01098667,12.49067
-0.01365,-2.487733,0.003866666,12.46027
-0.013600000000000001,-2.451466,0.001013333,12.49293
-0.013550000000000001,-2.505867,0.008133333,12.4624
-0.013500000000000002,-2.451466,0.01098667,12.4668
-0.01345,-2.492266,-0.0004266666,12.49293
-0.0134,-2.4968,0.003866666,12.45587
-0.01335,-2.446933,0.01288,12.48853
-0.013300000000000001,-2.4968,0.004346666,12.50587
-0.013250000000000001,-2.446933,0.01384,12.45813
-0.013200000000000002,-2.446933,0.008613333,12.48853
-0.01315,-2.492266,-0.00136,12.45373
-0.0131,-2.4424,-0.0028,12.46467
-0.01305,-2.501333,0.006719999,12.49507
-0.013000000000000001,-2.451466,0.002906666,12.4668
-0.012950000000000001,-2.492266,0.01146667,12.50373
-0.0129,-2.4424,0.00624,12.45587
-0.01285,-2.492266,0.01242667,12.49293
-0.0128,-2.4968,0.007199999,12.46027
-0.012750000000000001,-2.4336,0.01336,12.4864
-0.012700000000000001,-2.487733,0.00576,12.4712
-0.012650000000000002,-2.446933,0.0148,12.49507
-0.0126,-2.456,0.01384,12.46027
-0.01255,-2.492266,0.0048,12.48853
-0.0125,-2.4424,0.00576,12.4624
-0.012450000000000001,-2.501333,0.01384,12.48853
-0.012400000000000001,-2.4424,0.008133333,12.45813
-0.012350000000000002,-2.487733,0.01528,12.5016
-0.0123,-2.438133,0.01528,12.4516
-0.01225,-2.501333,0.00624,12.4972
-0.0122,-2.446933,0.00528,12.45587
-0.012150000000000001,-2.501333,0.01288,12.49293
-0.012100000000000001,-2.501333,0.01432,12.4624
-0.01205,-2.451466,0.0048,12.49293
-0.012,-2.492266,0.00576,12.49293
-0.01195,-2.429066,0.0148,12.4668
-0.0119,-2.446933,0.003866666,12.48853
-0.011850000000000001,-2.492266,0.01573333,12.45373
-0.011800000000000001,-2.501333,0.00624,12.49293
-0.01175,-2.456,0.01432,12.45587
-0.0117,-2.446933,0.01336,12.4972
-0.01165,-2.501333,0.003386667,12.45813
-0.011600000000000001,-2.456,0.00576,12.48853
-0.011550000000000001,-2.4968,-0.00184,12.45587
-0.011500000000000002,-2.456,0.001013333,12.45813
-0.01145,-2.492266,0.01194667,12.49067
-0.0114,-2.492266,0.01288,12.45813
-0.01135,-2.451466,0.003386667,12.4972
-0.011300000000000001,-2.492266,0.01050667,12.49293
-0.011250000000000001,-2.446933,-0.00136,12.45587
-0.0112,-2.456,-0.004213333,12.46027
-0.01115,-2.501333,0.006719999,12.4972
-0.0111,-2.460533,-0.004213333,12.49067
-0.01105,-2.492266,0.0048,12.45813
-0.011000000000000001,-2.446933,0.008613333,12.46027
-0.010950000000000001,-2.492266,-0.00232,12.50373
-0.0109,-2.492266,0.003386667,12.46027
-0.01085,-2.446933,-0.005173333,12.49293
-0.0108,-2.446933,0.004346666,12.4972
-0.010750000000000001,-2.492266,-0.006586666,12.46027
-0.010700000000000001,-2.505867,-0.004693333,12.48853
-0.010650000000000001,-2.451466,0.003866666,12.45373
-0.0106,-2.505867,0.00576,12.4972
-0.01055,-2.4336,-0.0009066666,12.46027
-0.0105,-2.456,0.001493333,12.4864
-0.010450000000000001,-2.492266,-0.004693333,12.46467
-0.010400000000000001,-2.446933,-0.008026666,12.4972
-0.01035,-2.492266,-0.00136,12.46027
-0.0103,-2.492266,-0.006586666,12.48853
