Time (s),no_pump,no_pump,pump_1557.4654nm,pump_1557.4654nm,no_pump,no_pump,pump_1557.3nm,pump_1557.3nm,pump_1557.6nm,pump_1557.6nm
0.0,0.049706662,0.049706662,0.9971732799999999,0.9971732799999999,0.048399993999999995,0.048399993999999995,0.8212798999999998,0.8212798999999998,1.1400268,1.1400268
5e-05,0.041413328,0.041413328,0.68061328,0.68061328,0.042319996,0.042319996,0.5595732800000001,0.5595732800000001,0.7755466,0.7755466
0.0001,0.054079996,0.054079996,0.67106658,0.67106658,0.055386661999999996,0.055386661999999996,0.5521599600000001,0.5521599600000001,0.7637865999999999,0.7637865999999999
0.00015000000000000001,0.047973329999999995,0.047973329999999995,0.4603199800000001,0.4603199800000001,0.04098666199999999,0.04098666199999999,0.37799995999999997,0.37799995999999997,0.5103732599999999,0.5103732599999999
0.0002,0.049253328,0.049253328,0.45639994,0.45639994,0.05709333,0.05709333,0.3758399600000001,0.3758399600000001,0.5138666599999999,0.5138666599999999
0.00025,0.055359994,0.055359994,0.32311996,0.32311996,0.034906662,0.034906662,0.28218666,0.28218666,0.36237332,0.36237332
0.00030000000000000003,0.050986664,0.050986664,0.33311996,0.33311996,0.046666662,0.046666662,0.28223998,0.28223998,0.36146662,0.36146662
0.00035,0.04837332999999999,0.04837332999999999,0.24695998000000002,0.24695998000000002,0.05186666400000001,0.05186666400000001,0.20815998000000002,0.20815998000000002,0.2652533,0.2652533
0.0004,0.04797333,0.04797333,0.25482664,0.25482664,0.059733329999999994,0.059733329999999994,0.22647998,0.22647998,0.27135996,0.27135996
0.00045000000000000004,0.051439996,0.051439996,0.1929333,0.1929333,0.037919994,0.037919994,0.16861332,0.16861332,0.19906664,0.19906664
0.0005,0.047066664,0.047066664,0.2056,0.2056,0.06189332999999999,0.06189332999999999,0.1777333,0.1777333,0.21517334,0.21517334
0.00055,0.05189333,0.05189333,0.15202666,0.15202666,0.030533330000000004,0.030533330000000004,0.13768,0.13768,0.15855996,0.15855996
0.0006000000000000001,0.060586662,0.060586662,0.18293328,0.18293328,0.05581333199999999,0.05581333199999999,0.15330667999999997,0.15330667999999997,0.17818664,0.17818664
0.0006500000000000001,0.039253328,0.039253328,0.13509334,0.13509334,0.03357333,0.03357333,0.11239999999999999,0.11239999999999999,0.1364,0.1364
0.0007,0.05058666199999999,0.05058666199999999,0.15029331999999998,0.15029331999999998,0.039279998,0.039279998,0.115920004,0.115920004,0.14941332,0.14941332
0.00075,0.043173329999999996,0.043173329999999996,0.11416,0.11416,0.056666666,0.056666666,0.116346646,0.116346646,0.11549332000000001,0.11549332000000001
0.0008,0.055786662,0.055786662,0.1072,0.1072,0.04405333,0.04405333,0.120240002,0.120240002,0.09850666599999999,0.09850666599999999
0.0008500000000000001,0.04839999599999999,0.04839999599999999,0.42722664000000005,0.42722664000000005,0.051413328,0.051413328,0.5687733,0.5687733,0.35930662,0.35930662
0.0009000000000000001,0.03837333,0.03837333,0.46119995999999996,0.46119995999999996,0.049733328,0.049733328,0.59879992,0.59879992,0.40674662,0.40674662
0.00095,0.06493333,0.06493333,0.9723465399999999,0.9723465399999999,0.046666664000000004,0.046666664000000004,1.06552006,1.06552006,1.01415992,1.01415992
0.001,0.043173329999999996,0.043173329999999996,0.9858400399999999,0.9858400399999999,0.06106666400000001,0.06106666400000001,1.0838398599999999,1.0838398599999999,1.04506672,1.04506672
0.0010500000000000002,0.057999998,0.057999998,1.3302668,1.3302668,0.04189332999999999,0.04189332999999999,1.3620800000000002,1.3620800000000002,1.4430398,1.4430398
0.0011,0.037946664000000005,0.037946664000000005,1.3472536,1.3472536,0.037093327999999995,0.037093327999999995,1.3751466,1.3751466,1.4534932,1.4534932
0.00115,0.06757333000000001,0.06757333000000001,1.5784797999999998,1.5784797999999998,0.063653332,0.063653332,1.5274934,1.5274934,1.690773,1.690773
0.0012000000000000001,0.061013331999999997,0.061013331999999997,1.5749866000000001,1.5749866000000001,0.052346664,0.052346664,1.5244532,1.5244532,1.7029862000000002,1.7029862000000002
0.00125,0.03925333,0.03925333,1.7156534,1.7156534,0.048826664,0.048826664,1.6250668000000001,1.6250668000000001,1.8305332,1.8305332
0.0013000000000000002,0.045759996000000004,0.045759996000000004,1.7103730000000001,1.7103730000000001,0.044079997999999995,0.044079997999999995,1.627653,1.627653,1.8301332,1.8301332
0.00135,0.051866661999999994,0.051866661999999994,1.7835462,1.7835462,0.05533332999999999,0.05533332999999999,1.7134133999999999,1.7134133999999999,1.9246398,1.9246398
0.0014,0.049706662,0.049706662,1.7687466,1.7687466,0.053626664000000004,0.053626664000000004,1.7029864,1.7029864,1.93024,1.93024
0.0014500000000000001,0.044933332,0.044933332,1.8083734,1.8083734,0.04533332999999999,0.04533332999999999,1.7817865999999998,1.7817865999999998,1.994293,1.994293
0.0015,0.054053331999999996,0.054053331999999996,1.8005331999999998,1.8005331999999998,0.038399998,0.038399998,1.7756798,1.7756798,1.9825328,1.9825328
0.0015500000000000002,0.046666664000000004,0.046666664000000004,1.8488534,1.8488534,0.059279996,0.059279996,1.8457865999999998,1.8457865999999998,2.0443464,2.0443464
0.0016,0.04797333,0.04797333,1.8366665999999998,1.8366665999999998,0.04013333,0.04013333,1.8297066000000002,1.8297066000000002,2.0304262,2.0304262
0.00165,0.04925333,0.04925333,1.8322934,1.8322934,0.048373330000000006,0.048373330000000006,1.8140264,1.8140264,2.0443732,2.0443732
