Time (s),Voltage (V)
0.0,-0.0158
0.002,0.3908
0.004,0.4710666
0.006,0.3388
0.008,0.3518
0.01,-0.02233333
0.012,-0.0234
0.014,0.4049333
0.016,0.5372
0.018000000000000002,-0.01686667
0.02,-0.02446666
0.022,0.3886666
0.024,0.3388
0.026000000000000002,0.5393999
0.028,0.3995333
0.03,-0.02993333
0.032,-0.0256
0.034,0.5068666
0.036000000000000004,0.4548
0.038,-0.0256
0.04,-0.02666666
0.042,0.4873333
0.044,0.4634666
0.046,0.3236
0.048,0.3333333
0.05,-0.0256
0.052000000000000005,-0.01686667
0.054,0.432
0.056,0.4526666
0.058,-0.02446666
0.06,-0.02773333
0.062,0.4288
0.064,0.3518
0.066,0.5339333
0.068,0.4255333
0.07,-0.0256
0.07200000000000001,-0.02233333
0.074,0.4396
0.076,0.5577999
0.078,-0.02993333
0.08,-0.02773333
0.082,0.3962666
0.084,0.5469999
0.08600000000000001,0.3474666
0.088,0.3485333
0.09,-0.02666666
0.092,-0.02233333
0.094,0.5079333
0.096,0.4689333
0.098,-0.0234
0.1,-0.02446666
0.10200000000000001,0.4244666
0.10400000000000001,0.4276666
0.106,0.3301333
0.108,0.3301333
0.11,-0.02126667
0.112,-0.0234
0.114,0.4157999
0.116,0.4493999
0.11800000000000001,-0.0234
0.12,-0.02666666
0.122,0.3886666
0.124,0.3507333
0.126,0.5480666
0.128,0.4201333
0.13,-0.02666666
0.132,-0.02013333
0.134,0.5274666
0.136,0.5393999
0.138,-0.02126667
0.14,-0.0234
0.14200000000000002,0.5176666
0.14400000000000002,0.5264
0.146,0.3376666
0.148,0.3398666
0.15,-0.0256
0.152,-0.0158
0.154,0.4385333
0.156,0.457
0.158,-0.02126667
0.16,-0.02773333
0.162,0.432
0.164,0.367
0.166,0.5252666
0.168,0.4157999
0.17,-0.02446666
0.17200000000000001,-0.0256
0.17400000000000002,0.4418
0.176,0.5513333
0.178,-0.02126667
0.18,-0.02446666
0.182,0.4082
0.184,0.3680666
0.186,0.5599999
0.188,0.3897333
0.19,-0.02446666
0.192,-0.02666666
0.194,0.5307333
0.196,0.4927333
0.198,-0.02233333
0.2,-0.02666666
0.202,0.5133333
0.20400000000000001,0.4916666
0.20600000000000002,0.3398666
0.20800000000000002,0.342
0.21,-0.02446666
0.212,-0.01906667
0.214,0.4624
0.216,0.4938666
0.218,-0.01906667
0.22,-0.0288
0.222,0.4364
0.224,0.367
0.226,0.5144666
0.228,0.406
0.23,-0.02446666
0.232,-0.0256
0.234,0.5035999
0.23600000000000002,0.5383333
0.23800000000000002,-0.0234
0.24,-0.02446666
0.242,0.4385333
0.244,0.5372
0.246,0.3246666
0.248,0.3333333
0.25,-0.02013333
0.252,-0.02126667
0.254,0.5252666
0.256,0.4461333
0.258,-0.02233333
0.26,-0.018
0.262,0.4396
0.264,0.4667333
0.266,0.3561333
0.268,0.3658666
0.27,-0.02446666
0.272,-0.0234
0.274,0.4840666
0.276,0.5296
0.278,-0.0234
0.28,-0.02446666
0.28200000000000003,0.4743333
0.28400000000000003,0.3843333
0.28600000000000003,0.5274666
0.28800000000000003,0.4016666
0.29,-0.0234
0.292,-0.02013333
0.294,0.5252666
0.296,0.5025333
0.298,-0.02233333
0.3,-0.02446666
0.302,0.4819333
0.304,0.4873333
0.306,0.3366
0.308,0.3322666
0.31,-0.02666666
0.312,-0.02013333
0.314,0.4548
0.316,0.4352666
0.318,-0.02126667
0.32,-0.02446666
0.322,0.4092666
0.324,0.3658666
0.326,0.4775999
0.328,0.3897333
0.33,-0.02126667
0.332,-0.02446666
0.334,0.4721333
0.336,0.5122666
0.338,-0.01686667
0.34,-0.02446666
0.342,0.4070666
0.34400000000000003,0.5231333
0.34600000000000003,0.3648
0.34800000000000003,0.3637333
0.35000000000000003,-0.02233333
0.352,-0.02446666
0.354,0.5133333
0.356,0.4504666
0.358,-0.0234
0.36,-0.0256
0.362,0.4721333
0.364,0.4721333
0.366,0.3474666
0.368,0.3452666
0.37,-0.02446666
0.372,-0.02233333
0.374,0.4364
0.376,0.4916666
