Time (s),CH2 (V),CH3 (V)
0.0,0.11148,0.1825333
5e-06,0.1107,0.1800867
1e-05,0.1107533,0.17988
1.5000000000000002e-05,0.1117133,0.1834867
2e-05,0.1108067,0.1795667
2.5e-05,0.11174,0.1828867
3.0000000000000004e-05,0.1117667,0.1832533
3.5000000000000004e-05,0.1107933,0.1795267
4e-05,0.1108667,0.1797467
4.5e-05,0.1118467,0.1836067
5e-05,0.11088,0.1801133
5.5e-05,0.11186,0.1839333
6.000000000000001e-05,0.11182,0.1839467
6.500000000000001e-05,0.1109333,0.1802733
7.000000000000001e-05,0.1119133,0.1843333
7.500000000000001e-05,0.1109067,0.1808333
8e-05,0.1109067,0.18056
8.5e-05,0.1118867,0.1843467
9e-05,0.11186,0.18388
9.5e-05,0.1109067,0.1803333
0.0001,0.11186,0.1837467
0.000105,0.11096,0.17972
0.00011,0.11186,0.1797733
0.000115,0.1109733,0.18354
0.00012000000000000002,0.1108667,0.17984
0.000125,0.1118067,0.18406
0.00013000000000000002,0.1117933,0.18426
0.000135,0.1107933,0.1808333
0.00014000000000000001,0.1117933,0.1848467
0.000145,0.1107533,0.1812533
0.00015000000000000001,0.1108267,0.18086
0.000155,0.1117,0.1847533
0.00016,0.1106867,0.18456
0.00016500000000000003,0.1116467,0.1809
0.00017,0.1117133,0.1847533
0.00017500000000000003,0.1107933,0.1809733
0.00018,0.1108667,0.1810933
0.00018500000000000002,0.11178,0.1849267
0.00019,0.1107933,0.1810267
0.00019500000000000002,0.1117667,0.1846733
0.0002,0.1117933,0.1847933
0.00020500000000000002,0.1108267,0.1806467
0.00021,0.1118067,0.1843333
0.00021500000000000002,0.11092,0.18086
0.00022,0.1108667,0.18032
0.00022500000000000002,0.1118067,0.1840066
0.00023,0.1117,0.1838
0.00023500000000000002,0.1108267,0.17998
0.00024000000000000003,0.1116733,0.18426
0.00024500000000000005,0.1107533,0.1806
0.00025,0.1107533,0.18066
0.000255,0.1116067,0.1846467
0.00026000000000000003,0.1106733,0.1809267
0.00026500000000000004,0.1115533,0.1846733
0.00027,0.1115267,0.185
0.000275,0.1105267,0.18124
0.00028000000000000003,0.1114267,0.18162
0.00028500000000000004,0.1105533,0.1850533
0.00029,0.1104733,0.1810133
0.000295,0.1113733,0.18452
0.00030000000000000003,0.1112933,0.1844
0.00030500000000000004,0.1104067,0.18036
0.00031,0.1113333,0.1840066
0.000315,0.11034,0.18026
0.00032,0.1103,0.1801533
0.00032500000000000004,0.1111733,0.18426
0.00033000000000000005,0.1102333,0.1809867
0.000335,0.1111467,0.18474
0.00034,0.1111867,0.1851867
0.00034500000000000004,0.11022,0.1812133
0.00035000000000000005,0.11022,0.1814733
0.000355,0.1112,0.1852133
0.00036,0.1101933,0.1813133
0.00036500000000000004,0.1111867,0.1850267
0.00037000000000000005,0.1112,0.1850133
0.000375,0.1103133,0.1812133
0.00038,0.1113867,0.1850267
0.00038500000000000003,0.11042,0.1812133
0.00039000000000000005,0.1103933,0.1810267
0.000395,0.11136,0.18482
0.0004,0.1113067,0.1842066
0.00040500000000000003,0.1104333,0.1807133
0.00041000000000000005,0.11136,0.1842733
0.00041500000000000006,0.1104467,0.18026
0.00042,0.1104867,0.1803733
0.00042500000000000003,0.1114133,0.1839933
