Time (s),Voltage (V)
0.0,0.1772
0.002,0.3951333
0.004,-0.02446666
0.006,0.4038666
0.008,-0.018
0.01,0.3876
0.012,-0.01686667
0.014,0.4016666
0.016,0.3897333
0.018000000000000002,-0.02126667
0.02,-0.01686667
0.022,0.3983999
0.024,-0.01686667
0.026000000000000002,0.4070666
0.028,-0.01906667
0.03,0.4092666
0.032,-0.0158
0.034,0.3821333
0.036000000000000004,-0.018
0.038,0.3767333
0.04,-0.02013333
0.042,0.3908
0.044,0.3724
0.046,-0.01473333
0.048,-0.0158
0.05,0.4016666
0.052000000000000005,-0.01146667
0.054,0.3897333
0.056,-0.01473333
0.058,0.4027333
0.06,-0.01366667
0.062,0.3995333
0.064,0.3962666
0.066,-0.0158
0.068,-0.01366667
0.07,0.3983999
0.07200000000000001,0.406
0.074,-0.01366667
0.076,-0.018
0.078,0.3680666
0.08,0.4049333
0.082,-0.01366667
0.084,0.3821333
0.08600000000000001,-0.01686667
0.088,-0.01686667
0.09,0.3843333
0.092,-0.0158
0.094,0.4038666
0.096,-0.01686667
0.098,0.4201333
0.1,-0.01906667
0.10200000000000001,0.3973333
0.10400000000000001,-0.0158
0.106,0.4038666
0.108,-0.01686667
0.11,0.3951333
0.112,-0.02126667
0.114,0.4016666
0.116,-0.0158
0.11800000000000001,0.3983999
0.12,-0.0158
0.122,0.3983999
0.124,0.4038666
0.126,-0.01686667
0.128,-0.018
0.13,0.3886666
0.132,-0.01366667
0.134,0.3876
0.136,-0.02013333
0.138,0.38
0.14,-0.01473333
0.14200000000000002,0.4006
0.14400000000000002,0.367
0.146,-0.02013333
0.148,-0.02446666
0.15,0.4016666
0.152,0.3810666
0.154,-0.01686667
0.156,-0.01366667
0.158,0.4146666
0.16,-0.01366667
0.162,0.3908
0.164,-0.0158
0.166,0.4146666
0.168,-0.018
0.17,0.3919333
0.17200000000000001,-0.02013333
0.17400000000000002,0.4038666
0.176,0.3897333
0.178,-0.01906667
0.18,-0.018
0.182,0.3919333
0.184,-0.0158
0.186,0.4006
0.188,-0.01366667
0.19,0.406
0.192,-0.01366667
0.194,0.3745333
0.196,-0.0158
0.198,0.3983999
0.2,-0.01366667
0.202,0.3995333
0.20400000000000001,-0.02013333
0.20600000000000002,0.3734666
0.20800000000000002,-0.01686667
0.21,0.4092666
0.212,0.3843333
0.214,-0.018
0.216,0.4092666
0.218,-0.01366667
0.22,-0.02233333
0.222,0.3929999
0.224,0.4082
0.226,-0.0158
0.228,-0.01906667
0.23,0.3951333
0.232,-0.02233333
0.234,0.4070666
0.23600000000000002,-0.01686667
0.23800000000000002,0.3908
0.24,0.4201333
0.242,-0.018
0.244,-0.01906667
0.246,0.3929999
0.248,-0.0158
0.25,0.4016666
0.252,0.406
0.254,-0.02446666
0.256,-0.01473333
0.258,0.3929999
0.26,-0.01686667
0.262,0.4082
0.264,-0.0158
0.266,0.4016666
0.268,-0.01253333
0.27,0.4125333
0.272,-0.0158
0.274,0.406
0.276,0.3995333
0.278,-0.018
0.28,-0.01686667
0.28200000000000003,0.4070666
0.28400000000000003,-0.01366667
