Time (s),CH1 (V)
0.0,-0.3246666
2e-06,5.393333
4e-06,4.703333
6e-06,5.371333
8e-06,4.736667
9.999999999999999e-06,5.338
1.2e-05,4.736667
1.4e-05,5.371333
1.6e-05,5.348667
1.8e-05,4.659333
1.9999999999999998e-05,4.736667
2.2e-05,5.348667
2.4e-05,5.315333
2.6e-05,4.726
2.8e-05,4.703333
2.9999999999999997e-05,5.348667
3.2e-05,4.692667
3.4e-05,5.326667
3.6e-05,5.326667
3.7999999999999995e-05,4.67
3.9999999999999996e-05,5.338
4.2e-05,4.692667
4.4e-05,4.648
4.6e-05,5.315333
4.8e-05,5.338
4.9999999999999996e-05,4.692667
5.2e-05,5.315333
5.4e-05,4.703333
5.6e-05,4.681333
5.8e-05,5.338
5.9999999999999995e-05,5.338
6.2e-05,4.726
6.4e-05,5.338
6.599999999999999e-05,4.703333
6.8e-05,5.315333
7e-05,4.659333
7.2e-05,5.304
7.4e-05,4.681333
7.599999999999999e-05,5.338
7.8e-05,4.703333
7.999999999999999e-05,4.714667
8.2e-05,5.282
8.4e-05,5.338
8.599999999999999e-05,4.681333
8.8e-05,5.315333
8.999999999999999e-05,4.67
9.2e-05,5.304
9.4e-05,4.692667
9.6e-05,5.315333
9.8e-05,4.692667
9.999999999999999e-05,5.282
0.000102,4.681333
0.000104,4.681333
0.000106,5.315333
0.000108,4.692667
0.00010999999999999999,5.315333
0.000112,5.315333
0.00011399999999999999,4.714667
0.000116,5.282
0.000118,4.703333
0.00011999999999999999,5.282
0.000122,4.626
0.000124,4.681333
0.000126,5.348667
0.000128,4.681333
0.00013,5.348667
0.00013199999999999998,4.67
0.000134,5.338
0.000136,5.282
0.000138,4.703333
0.00014,5.293333
0.00014199999999999998,4.726
0.000144,5.326667
0.000146,4.692667
0.000148,5.338
0.00015,4.703333
0.00015199999999999998,5.282
0.000154,4.692667
0.000156,4.692667
0.000158,5.338
0.00015999999999999999,4.681333
0.00016199999999999998,5.338
0.000164,4.703333
0.000166,5.282
0.000168,4.67
0.00016999999999999999,5.338
0.00017199999999999998,5.293333
0.000174,4.703333
0.000176,5.326667
0.000178,4.681333
0.00017999999999999998,5.348667
0.00018199999999999998,4.703333
0.000184,4.67
0.000186,5.293333
0.000188,4.703333
0.00018999999999999998,5.348667
0.000192,5.315333
0.000194,4.714667
0.000196,4.659333
0.000198,5.282
0.00019999999999999998,4.681333
0.000202,5.315333
0.000204,5.326667
0.000206,4.703333
0.000208,4.703333
0.00020999999999999998,5.348667
0.000212,5.293333
0.000214,4.703333
0.000216,4.659333
0.00021799999999999999,5.338
0.00021999999999999998,5.315333
0.000222,4.692667
0.000224,4.648
0.000226,5.36
0.00022799999999999999,5.315333
0.00022999999999999998,4.703333
0.000232,5.326667
0.000234,4.692667
0.000236,5.293333
0.00023799999999999998,4.681333
0.00023999999999999998,5.315333
0.000242,4.703333
0.000244,4.703333
0.00024599999999999996,5.36
0.000248,5.348667
0.00025,4.703333
0.000252,5.326667
0.000254,4.692667
0.000256,4.681333
0.000258,5.338
0.00026,5.36
0.00026199999999999997,4.626
0.00026399999999999997,5.315333
0.000266,4.692667
0.000268,5.293333
0.00027,4.67
0.000272,5.338
0.000274,4.692667
0.000276,5.293333
0.000278,4.648
0.00028,4.681333
0.00028199999999999997,5.348667
0.00028399999999999996,5.304
0.000286,4.659333
0.000288,4.703333
0.00029,5.293333
0.000292,4.703333
0.000294,5.326667
0.000296,4.692667
0.000298,5.326667
0.0003,5.304
0.00030199999999999997,4.703333
0.00030399999999999996,5.304
0.000306,4.692667
0.000308,4.681333
0.00031,5.293333
0.000312,4.703333
0.000314,5.304
0.000316,4.736667
0.000318,5.36
0.00031999999999999997,5.304
0.00032199999999999997,4.692667
