Time (s),CH1 Voltage (V),CH2 Voltage (V),CH3 Voltage (V)
-0.025,2.521333,-0.009866666,9.255466
-0.02495,-2.5104,-0.0032,9.255466
-0.024900000000000002,-2.492266,-0.00416,9.255466
-0.02485,-2.451466,-0.01128,9.255466
-0.024800000000000003,-2.492266,-0.0032,9.255466
-0.02475,-2.446933,-0.01461333,9.255466
-0.0247,-2.492266,-0.01128,9.255466
-0.024650000000000002,-2.4424,-0.00512,9.255466
-0.0246,-2.438133,-0.01128,9.255466
-0.024550000000000002,-2.492266,-0.005573333,9.255466
-0.0245,-2.456,-0.00512,9.255466
-0.024450000000000003,-2.501333,-0.01128,9.255466
-0.0244,-2.446933,-0.004639999,9.255466
-0.02435,-2.505867,-0.01224,9.255466
-0.024300000000000002,-2.446933,-0.005573333,9.255466
-0.02425,-2.4968,-0.01368,9.255466
-0.024200000000000003,-2.446933,-0.00368,9.255466
-0.02415,-2.4968,-0.01224,9.255466
-0.0241,-2.4968,-0.00368,9.255466
-0.024050000000000002,-2.451466,-0.01082667,9.255466
-0.024,-2.4968,-0.0032,9.255466
-0.023950000000000003,-2.446933,-0.0132,9.255466
-0.0239,-2.492266,-0.007013333,9.255466
-0.023850000000000003,-2.451466,-0.01224,9.255466
-0.0238,-2.4424,-0.005573333,9.255466
-0.02375,-2.4968,-0.01224,9.255466
-0.023700000000000002,-2.446933,-0.00512,9.255466
-0.02365,-2.501333,-0.01082667,9.255466
-0.023600000000000003,-2.4968,-0.006053333,9.255466
-0.02355,-2.446933,-0.01272,9.255466
-0.0235,-2.492266,-0.01224,9.255466
-0.023450000000000002,-2.446933,-0.004639999,9.255466
-0.0234,-2.446933,-0.0032,9.255466
-0.023350000000000003,-2.4832,-0.01413333,9.255466
-0.0233,-2.4424,-0.00368,9.255466
-0.02325,-2.501333,-0.01224,9.255466
-0.023200000000000002,-2.456,-0.00368,9.255466
-0.02315,-2.501333,-0.01224,9.255466
-0.023100000000000002,-2.4336,-0.01128,9.255466
-0.02305,-2.505867,-0.00512,9.255466
-0.023,-2.446933,-0.00512,9.255466
-0.02295,-2.501333,-0.01128,9.255466
-0.0229,-2.492266,-0.01224,9.255466
-0.022850000000000002,-2.446933,-0.00368,9.255466
-0.0228,-2.4968,-0.01368,9.255466
-0.02275,-2.451466,-0.00512,9.255466
-0.0227,-2.446933,-0.01224,9.255466
-0.02265,-2.487733,-0.002746667,9.255466
-0.022600000000000002,-2.446933,-0.00512,9.255466
-0.02255,-2.501333,-0.01224,9.255466
-0.022500000000000003,-2.4424,-0.01224,9.255466
-0.02245,-2.501333,-0.00416,9.255466
-0.0224,-2.492266,-0.01082667,9.255466
-0.022350000000000002,-2.446933,-0.00416,9.255466
-0.0223,-2.492266,-0.01082667,9.255466
-0.022250000000000002,-2.438133,-0.00512,9.255466
-0.0222,-2.4968,-0.01034667,9.255466
-0.022150000000000003,-2.4336,-0.00416,9.255466
-0.0221,-2.4968,-0.006053333,9.255466
-0.02205,-2.446933,-0.01082667,9.255466
-0.022000000000000002,-2.4336,-0.002746667,9.255466
-0.02195,-2.4968,-0.01176,9.255466
-0.021900000000000003,-2.492266,-0.0032,9.255466
-0.02185,-2.438133,-0.0132,9.255466
-0.0218,-2.4424,-0.01224,9.255466
-0.021750000000000002,-2.505867,-0.006053333,9.255466
-0.0217,-2.4968,-0.00416,9.255466
-0.021650000000000003,-2.446933,-0.0132,9.255466
-0.0216,-2.456,-0.01128,9.255466
-0.02155,-2.4968,-0.001786667,9.255466
-0.021500000000000002,-2.446933,-0.006053333,9.255466
-0.02145,-2.487733,-0.01176,9.255466
-0.021400000000000002,-2.501333,-0.01272,9.255466
-0.02135,-2.4336,-0.006533333,9.255466
-0.0213,-2.501333,-0.00416,9.255466
-0.02125,-2.438133,-0.01128,9.255466
-0.0212,-2.4968,-0.01082667,9.255466
-0.021150000000000002,-2.438133,-0.00512,9.255466
-0.0211,-2.438133,-0.01082667,9.255466
-0.02105,-2.492266,-0.00416,9.255466
-0.021,-2.492266,-0.01224,9.255466
-0.020950000000000003,-2.438133,-0.004639999,9.255466
-0.020900000000000002,-2.446933,-0.002746667,9.255466
-0.02085,-2.487733,-0.01272,9.255466
-0.0208,-2.487733,-0.00416,9.255466
-0.02075,-2.446933,-0.01368,9.255466
-0.020700000000000003,-2.4336,-0.01128,9.255466
-0.02065,-2.501333,-0.00416,9.255466
-0.0206,-2.456,-0.00512,9.255466
-0.020550000000000002,-2.501333,-0.01128,9.255466
-0.0205,-2.492266,-0.0132,9.255466
-0.020450000000000003,-2.446933,-0.00416,9.255466
-0.0204,-2.438133,-0.004639999,9.255466
-0.02035,-2.501333,-0.01224,9.255466
-0.020300000000000002,-2.446933,-0.01224,9.255466
-0.02025,-2.492266,-0.00368,9.255466
-0.020200000000000003,-2.438133,-0.004639999,9.255466
-0.02015,-2.492266,-0.01082667,9.255466
-0.0201,-2.4968,-0.006053333,9.255466
-0.020050000000000002,-2.438133,-0.01082667,9.255466
-0.02,-2.4832,-0.01272,9.255466
-0.019950000000000002,2.58,-0.002746667,9.255466
-0.0199,2.498667,-0.00368,9.255466
-0.01985,2.561867,-0.01368,9.255466
-0.0198,2.5528,-0.004639999,9.255466
-0.01975,2.498667,-0.01082667,9.255466
-0.019700000000000002,2.5528,-0.01272,9.255466
-0.01965,2.507733,-0.00512,9.255466
-0.0196,2.512266,-0.01082667,9.255466
-0.01955,2.5664,-0.006053333,9.255466
-0.0195,2.557333,-0.01128,9.255466
-0.019450000000000002,2.507733,-0.00416,9.255466
-0.0194,2.512266,-0.01034667,9.255466
-0.01935,2.5664,-0.001306667,9.255466
-0.0193,2.5528,-0.002746667,9.255466
-0.019250000000000003,2.512266,-0.01128,9.255466
-0.019200000000000002,2.512266,-0.01272,9.255466
-0.01915,2.5528,-0.006053333,9.255466
-0.019100000000000002,2.5528,-0.00416,9.255466
-0.01905,2.498667,-0.01128,9.255466
-0.019000000000000003,2.5664,-0.002746667,9.255466
-0.01895,2.507733,-0.01176,9.255466
-0.0189,2.5528,-0.0132,9.255466
-0.018850000000000002,2.507733,-0.00368,9.255466
-0.0188,2.557333,-0.00368,9.255466
-0.018750000000000003,2.507733,-0.01082667,9.255466
-0.0187,2.561867,-0.01128,9.255466
-0.01865,2.512266,-0.00368,9.255466
-0.018600000000000002,2.557333,-0.0132,9.255466
-0.01855,2.512266,-0.005573333,9.255466
-0.018500000000000003,2.507733,-0.01224,9.255466
-0.01845,2.557333,-0.00368,9.255466
-0.0184,2.5528,-0.0132,9.255466
-0.01835,2.4896,-0.006533333,9.255466
-0.0183,2.512266,-0.00512,9.255466
-0.018250000000000002,2.570933,-0.01082667,9.255466
-0.0182,2.507733,-0.01128,9.255466
-0.01815,2.5528,-0.00368,9.255466
-0.0181,2.557333,-0.00512,9.255466
-0.01805,2.507733,-0.01082667,9.255466
-0.018000000000000002,2.512266,-0.01368,9.255466
-0.01795,2.557333,-0.001786667,9.255466
-0.0179,2.512266,-0.01082667,9.255466
-0.01785,2.5664,-0.00416,9.255466
-0.0178,2.5664,-0.004639999,9.255466
-0.017750000000000002,2.507733,-0.01272,9.255466
-0.0177,2.557333,-0.01082667,9.255466
-0.01765,2.494133,-0.006053333,9.255466
-0.0176,2.507733,-0.004639999,9.255466
-0.017550000000000003,2.557333,-0.01224,9.255466
-0.0175,2.512266,-0.01272,9.255466
-0.01745,2.5664,-0.0032,9.255466
-0.017400000000000002,2.5528,-0.00416,9.255466
-0.01735,2.512266,-0.01272,9.255466
-0.017300000000000003,2.5664,-0.006053333,9.255466
-0.01725,2.4896,-0.01224,9.255466
-0.0172,2.561867,-0.00512,9.255466
-0.01715,2.512266,-0.01034667,9.255466
-0.0171,2.5664,-0.004639999,9.255466
-0.017050000000000003,2.507733,-0.01128,9.255466
-0.017,2.575466,-0.00416,9.255466
-0.01695,2.494133,-0.01224,9.255466
-0.016900000000000002,2.557333,-0.0132,9.255466
-0.01685,2.512266,-0.00416,9.255466
-0.016800000000000002,2.521333,-0.002746667,9.255466
-0.01675,2.557333,-0.01224,9.255466
-0.0167,2.507733,-0.01176,9.255466
-0.01665,2.5528,-0.00368,9.255466
-0.0166,2.507733,-0.009866666,9.255466
-0.016550000000000002,2.557333,-0.001786667,9.255466
-0.0165,2.498667,-0.006053333,9.255466
-0.01645,2.557333,-0.0132,9.255466
-0.0164,2.5032,-0.006053333,9.255466
-0.016350000000000003,2.561867,-0.01128,9.255466
-0.016300000000000002,2.512266,-0.0032,9.255466
-0.01625,2.5528,-0.01368,9.255466
-0.0162,2.561867,-0.00512,9.255466
-0.01615,2.5168,-0.01224,9.255466
-0.016100000000000003,2.561867,-0.004639999,9.255466
-0.016050000000000002,2.512266,-0.0132,9.255466
-0.016,2.507733,-0.00512,9.255466
-0.01595,2.557333,-0.01082667,9.255466
-0.0159,2.498667,-0.01224,9.255466
-0.015850000000000003,2.5664,-0.004639999,9.255466
-0.0158,2.507733,-0.004639999,9.255466
-0.01575,2.570933,-0.01128,9.255466
-0.0157,2.5528,-0.01224,9.255466
-0.01565,2.498667,-0.004639999,9.255466
-0.015600000000000001,2.5664,-0.01224,9.255466
-0.015550000000000001,2.498667,-0.00512,9.255466
-0.015500000000000002,2.557333,-0.00512,9.255466
-0.01545,2.507733,-0.0132,9.255466
-0.0154,2.512266,-0.00416,9.255466
-0.01535,2.5528,-0.01176,9.255466
-0.015300000000000001,2.557333,-0.01128,9.255466
-0.015250000000000001,2.5032,-0.00512,9.255466
-0.015200000000000002,2.521333,-0.004639999,9.255466
-0.01515,2.557333,-0.01082667,9.255466
-0.0151,2.5168,-0.00368,9.255466
-0.015050000000000001,2.5528,-0.01128,9.255466
-0.015000000000000001,2.534933,-0.01224,9.255466
-0.014950000000000001,-2.523733,-0.006053333,9.255466
-0.0149,-2.505867,-0.01128,9.255466
-0.01485,-2.429066,-0.00416,9.255466
-0.0148,-2.446933,-0.005573333,9.255466
-0.014750000000000001,-2.505867,-0.01224,9.255466
-0.014700000000000001,-2.492266,-0.01224,9.255466
-0.014650000000000002,-2.4336,-0.00512,9.255466
-0.0146,-2.456,-0.006053333,9.255466
-0.01455,-2.501333,-0.01176,9.255466
-0.0145,-2.5104,-0.002266667,9.255466
-0.014450000000000001,-2.446933,-0.01368,9.255466
-0.014400000000000001,-2.4832,-0.004639999,9.255466
-0.014350000000000002,-2.4336,-0.01176,9.255466
-0.0143,-2.424533,-0.01272,9.255466
-0.01425,-2.4832,-0.002746667,9.255466
-0.0142,-2.438133,-0.01224,9.255466
-0.014150000000000001,-2.501333,-0.00512,9.255466
-0.014100000000000001,-2.438133,-0.01082667,9.255466
-0.014050000000000002,-2.492266,-0.00368,9.255466
-0.014,-2.492266,-0.0132,9.255466
-0.01395,-2.438133,-0.006053333,9.255466
-0.013900000000000001,-2.4424,-0.00512,9.255466
-0.013850000000000001,-2.492266,-0.01368,9.255466
-0.013800000000000002,-2.438133,-0.01176,9.255466
-0.01375,-2.501333,-0.00368,9.255466
-0.0137,-2.438133,-0.01128,9.255466
-0.01365,-2.5104,-0.0032,9.255466
