Frequency (Hz),Vrms (V)
100,0.21737574349003175
300,0.21746514193508895
500,0.22492913095796663
700,0.2126141376864064
900,0.19957204192252756
1000,0.19112369014725744
1500,0.1785173624956833
2000,0.1717253136223981
2500,0.1593461969913084
3000,0.1539297392512133
3500,0.15155053722259654
4000,0.14584831429964606
5000,0.14949664888904607
7000,0.14602289274653946
8000,0.13423261602513006
9000,0.13146911727781807
10000,0.14017433603618848
12000,0.13811411761030465
14000,0.13147758876404841
16000,0.12720835779437809
18000,0.13626929473843094
20000,0.14022670735339945
25000,0.1292145285162733
30000,0.1340806328490556
40000,0.1412182514683865
50000,0.1382557985499673
60000,0.12731708128222416
75000,0.13083407084205267
100000,0.13034178864764737
200000,0.12905638580306933
300000,0.13696280829605653
400000,0.1369880774791845
500000,0.1352295125422976
750000,0.13285783724429934
1000000,0.13382124040572388
2000000,0.13173765733204656
5000000,0.14560290067276005
