Time (s),no_pump,pump_1552.4385nm,no_pump,pump_1551nm,pump_1556nm
0.0,0.09283333,0.09357332,0.1022733,0.09199999,0.11148
5e-06,0.09263333,0.09392666,0.10198,0.09177332,0.1107
1e-05,0.09345333,0.09323999,0.1019,0.09260666,0.1107533
1.5000000000000002e-05,0.09254,0.09406,0.1027867,0.09177332,0.1117133
2e-05,0.09267332,0.09334666,0.10272,0.09182666,0.1108067
2.5e-05,0.09346666,0.09419332,0.1018867,0.09261999,0.11174
3.0000000000000004e-05,0.09265999,0.09339999,0.10264,0.09263333,0.1117667
3.5000000000000004e-05,0.09353333,0.09424666,0.1017733,0.09173333,0.1107933
4e-05,0.09350666,0.09349333,0.1026267,0.09255332,0.1108667
4.5e-05,0.09263333,0.09430666,0.1017467,0.09171999,0.1118467
5e-05,0.09347999,0.09430666,0.1026533,0.09251333,0.11088
5.5e-05,0.09263333,0.09342666,0.10176,0.09169333,0.11186
6.000000000000001e-05,0.09261999,0.09419332,0.1026267,0.09244666,0.11182
6.500000000000001e-05,0.09347999,0.09339999,0.1017733,0.09164,0.1109333
7.000000000000001e-05,0.09339999,0.09334666,0.1026,0.09164,0.1119133
7.500000000000001e-05,0.09256666,0.09418,0.1017067,0.09242,0.1109067
8e-05,0.09338666,0.09413999,0.1025467,0.09235333,0.1109067
8.5e-05,0.09252666,0.09331999,0.10164,0.09147333,0.1118867
9e-05,0.09247333,0.09409999,0.1024733,0.09149999,0.11186
9.5e-05,0.09341332,0.09329332,0.1015867,0.09229999,0.1109067
0.0001,0.09341332,0.09401999,0.1024467,0.09227332,0.11186
0.000105,0.09255332,0.09310666,0.10152,0.09148666,0.11096
0.00011,0.09256666,0.0939,0.1016,0.09143332,0.11186
0.000115,0.09341332,0.09298666,0.10246,0.09231333,0.1109733
0.00012000000000000002,0.09257999,0.09375333,0.1016933,0.09232666,0.1108667
0.000125,0.09338666,0.09290666,0.10256,0.09149999,0.1118067
0.00013000000000000002,0.09254,0.09366,0.1017867,0.09159999,0.1117933
0.000135,0.09341332,0.09283333,0.1026533,0.09245999,0.1107933
0.00014000000000000001,0.09259333,0.09280666,0.1026933,0.09249999,0.1117933
0.000145,0.09342666,0.09357332,0.1017867,0.09164,0.1107533
0.00015000000000000001,0.09263333,0.09280666,0.1026267,0.09259333,0.1108267
0.000155,0.09346666,0.09366,0.1017867,0.09169333,0.1117
0.00016,0.09263333,0.09285999,0.1017867,0.09169333,0.1106867
0.00016500000000000003,0.09349333,0.09371333,0.1026667,0.09248666,0.1116467
0.00017,0.09267332,0.09290666,0.1018267,0.09166666,0.1117133
0.00017500000000000003,0.09353333,0.09368666,0.10272,0.09255332,0.1107933
0.00018,0.09356,0.09293333,0.1019,0.09174666,0.1108667
0.00018500000000000002,0.09267332,0.09376666,0.1028267,0.09255332,0.11178
0.00019,0.09349333,0.09302666,0.1028133,0.09257999,0.1107933
0.00019500000000000002,0.09268666,0.09381999,0.1019533,0.09170666,0.1117667
0.0002,0.09349333,0.09310666,0.1028,0.09255332,0.1117933
0.00020500000000000002,0.09265999,0.09393999,0.1019667,0.0918,0.1108267
0.00021,0.09264666,0.09326666,0.10272,0.09256666,0.1118067
0.00021500000000000002,0.09353333,0.09411333,0.1018267,0.0918,0.11092
0.00022,0.09267332,0.09337333,0.10276,0.0918,0.1108667
0.00022500000000000002,0.09349333,0.09420666,0.1018867,0.09263333,0.1118067
0.00023,0.09265999,0.09425999,0.1026533,0.09178666,0.1117
0.00023500000000000002,0.09357332,0.09341332,0.1017867,0.09259333,0.1108267
0.00024000000000000003,0.09265999,0.09347999,0.10172,0.09256666,0.1116733
0.00024500000000000005,0.09356,0.09429333,0.10264,0.09171999,0.1107533
0.00025,0.09353333,0.09341332,0.10176,0.09171999,0.1107533
0.000255,0.09265999,0.09429333,0.1026667,0.09247333,0.1116067
0.00026000000000000003,0.09346666,0.09342666,0.1027067,0.09245999,0.1106733
0.00026500000000000004,0.09265999,0.09423333,0.10184,0.09166666,0.1115533
0.00027,0.09342666,0.09335999,0.1018,0.09242,0.1115267
0.000275,0.09257999,0.09421999,0.1026667,0.09157333,0.1105267
0.00028000000000000003,0.09256666,0.09330666,0.1025867,0.09149999,0.1114267
0.00028500000000000004,0.09335999,0.09423333,0.1017067,0.09235333,0.1105533
0.00029,0.09249999,0.09420666,0.1025733,0.09232666,0.1104733
0.000295,0.09335999,0.09330666,0.1016667,0.09149999,0.1113733
0.00030000000000000003,0.09338666,0.09400666,0.1025467,0.09231333,0.1112933
0.00030500000000000004,0.09255332,0.09316,0.1016667,0.09140666,0.1104067
0.00031,0.09260666,0.09388666,0.1017067,0.09148666,0.1113333
0.000315,0.09344,0.09301332,0.10264,0.09228666,0.11034
0.00032,0.09337333,0.09383333,0.1017733,0.09147333,0.1103
0.00032500000000000004,0.09257999,0.09291999,0.1026667,0.09236666,0.1111733
0.00033000000000000005,0.09252666,0.09367333,0.10194,0.09164,0.1102333
0.000335,0.09338666,0.09282,0.10288,0.09247333,0.1111467
0.00034,0.09259333,0.09366,0.1027733,0.09248666,0.1111867
0.00034500000000000004,0.09344,0.09275333,0.1019133,0.09166666,0.11022
0.00035000000000000005,0.09263333,0.09289332,0.1027867,0.09248666,0.11022
0.000355,0.09351999,0.09369999,0.1018867,0.09165332,0.1112
0.00036,0.09264666,0.09290666,0.1019133,0.09170666,0.1101933
0.00036500000000000004,0.09351999,0.09378,0.1028133,0.09249999,0.1111867
0.00037000000000000005,0.09268666,0.09294666,0.10198,0.09165332,0.1112
0.000375,0.09359333,0.09380666,0.1027867,0.09252666,0.1103133
0.00038,0.09275333,0.09299999,0.1019933,0.09171999,0.1113867
0.00038500000000000003,0.09359333,0.09379333,0.1029067,0.09252666,0.11042
0.00039000000000000005,0.09354666,0.09301332,0.10284,0.09169333,0.1103933
0.000395,0.09257999,0.09385999,0.1020333,0.09255332,0.11136
0.0004,0.09351999,0.09310666,0.10284,0.09174666,0.1113067
0.00040500000000000003,0.09267332,0.09396666,0.10198,0.09259333,0.1104333
0.00041000000000000005,0.09347999,0.09326666,0.1019267,0.09175999,0.11136
0.00041500000000000006,0.09268666,0.09415333,0.1027467,0.09261999,0.1104467
0.00042,0.09349333,0.09338666,0.1028,0.09181333,0.1104867
0.00042500000000000003,0.09267332,0.09421999,0.1019133,0.09261999,0.1114133
0.00043000000000000004,0.09351999,0.09347999,0.1026667,0.09256666,0.11042
0.00043500000000000006,0.09268666,0.09431999,0.1017733,0.09174666,0.11128
0.00044,0.09357332,0.09354666,0.1018,0.09255332,0.11128
0.00044500000000000003,0.09272666,0.09434666,0.1026,0.09175999,0.11042
0.00045000000000000004,0.09356,0.09430666,0.1018133,0.09169333,0.11128
0.00045500000000000006,0.09267332,0.09347999,0.1026533,0.09257999,0.1104067
0.00046,0.09347999,0.09344,0.1026267,0.09243333,0.1103533
0.000465,0.09265999,0.09430666,0.1017867,0.09165332,0.11124
0.00047000000000000004,0.09346666,0.09425999,0.1025867,0.09242,0.11116
0.00047500000000000005,0.09257999,0.09344,0.1017067,0.09155999,0.1102733
0.00048000000000000007,0.09334666,0.09421999,0.10264,0.09233999,0.1112133
0.000485,0.09254,0.09339999,0.1017067,0.09152,0.1102467
0.0004900000000000001,0.09252666,0.09412666,0.1016667,0.09146,0.1102733
0.000495,0.09341332,0.09333333,0.1025267,0.09228666,0.1111333
0.0005,0.09344,0.09406,0.1025733,0.09229999,0.11018
0.000505,0.09257999,0.09317333,0.1016533,0.09144666,0.1110533
0.00051,0.09263333,0.09393999,0.1016533,0.09143332,0.11116
0.000515,0.09344,0.09305333,0.1025733,0.09228666,0.1101533
0.0005200000000000001,0.09341332,0.09379333,0.1017333,0.09153333,0.1110133
0.0005250000000000001,0.09256666,0.09298666,0.1026533,0.09235333,0.1101267
0.0005300000000000001,0.09257999,0.09371333,0.1018267,0.09162666,0.11008
0.000535,0.09345333,0.09290666,0.10276,0.09243333,0.1109867
0.00054,0.09261999,0.09283333,0.10284,0.09169333,0.11096
0.000545,0.09347999,0.09366,0.1018867,0.09254,0.11004
0.00055,0.09349333,0.09289332,0.1019133,0.09170666,0.1109733
0.000555,0.09264666,0.09368666,0.1027067,0.09249999,0.11
0.0005600000000000001,0.09360666,0.09295999,0.1018867,0.09167999,0.11004
0.0005650000000000001,0.09268666,0.09375333,0.1027333,0.09252666,0.1109333
0.0005700000000000001,0.09275333,0.09379333,0.10276,0.09165332,0.1100533
0.0005750000000000001,0.09356,0.09297333,0.10194,0.09251333,0.1110133
0.00058,0.09357332,0.09297333,0.1019667,0.09169333,0.11108
0.000585,0.09277999,0.09383333,0.10284,0.09254,0.11018
0.00059,0.09357332,0.09306666,0.1020333,0.09252666,0.1111867
0.000595,0.09272666,0.09391332,0.1028667,0.09174666,0.1103
0.0006000000000000001,0.09353333,0.09311999,0.1028667,0.09170666,0.1102867
0.0006050000000000001,0.09271333,0.09406,0.10198,0.09260666,0.1112933
0.0006100000000000001,0.09268666,0.09333333,0.1019667,0.09260666,0.1103267
