Time (s),Voltage (V)
0.61,0.8538666
0.612,0.1978
0.614,0.8614666
0.616,0.2032
0.618,0.7616666
0.62,0.1956666
0.622,0.8332666
0.624,0.1967333
0.626,0.7529999
0.628,0.2
0.63,0.8310666
0.632,0.2043333
0.634,0.7703332
0.636,0.2032
0.638,0.8733999
0.64,0.2032
0.642,0.8809332
0.644,0.2
0.646,0.8538666
0.648,0.1978
0.65,0.8549333
0.652,0.2
0.654,0.8375999
0.656,0.8549333
0.658,0.2
0.66,0.1978
0.662,0.8841999
0.664,0.2054
0.666,0.8635999
0.668,0.1934666
0.67,0.7725332
0.672,0.2032
0.674,0.8505999
0.676,0.2021333
0.678,0.7465333
0.68,0.2054
0.682,0.7768666
0.684,0.1978
0.686,0.7692666
0.6880000000000001,0.1956666
0.6900000000000001,0.8213332
0.6920000000000001,0.2010666
0.6940000000000001,0.7681999
0.6960000000000001,0.8289332
0.6980000000000001,0.2
0.7000000000000001,0.2
0.7020000000000001,0.8115333
0.704,0.2010666
0.706,0.8516666
0.708,0.2032
0.71,0.8397332
0.712,0.2010666
0.714,0.8440666
0.716,0.1945333
0.718,0.7746666
0.72,0.2010666
0.722,0.8538666
0.724,0.8191333
0.726,0.2010666
0.728,0.1978
0.73,0.7757999
0.732,0.7583999
0.734,0.2
0.736,0.2021333
0.738,0.7595333
0.74,0.1945333
0.742,0.7865999
0.744,0.1956666
0.746,0.8289332
0.748,0.2043333
0.75,0.8451999
0.752,0.7931333
0.754,0.2
0.756,0.2043333
0.758,0.7671332
0.76,0.2043333
0.762,0.8375999
0.764,0.1988667
0.766,0.8538666
0.768,0.1978
0.77,0.7789999
0.772,0.2043333
0.774,0.8505999
0.776,0.2032
0.778,0.7855332
0.78,0.1956666
0.782,0.7725332
0.784,0.7931333
0.786,0.1924
0.788,0.2010666
0.79,0.8126666
0.792,0.2
0.794,0.7486666
0.796,0.1967333
0.798,0.8353999
0.8,0.2032
0.802,0.8505999
0.804,0.1978
0.806,0.8332666
0.808,0.1978
0.81,0.8451999
0.812,0.2032
0.8140000000000001,0.8028666
0.8160000000000001,0.2010666
0.8180000000000001,0.8245999
0.8200000000000001,0.2010666
0.8220000000000001,0.9004666
0.8240000000000001,0.2021333
0.8260000000000001,0.8614666
0.8280000000000001,0.7920666
0.8300000000000001,0.1967333
0.8320000000000001,0.8440666
0.834,0.2
0.836,0.7399999
0.838,0.2010666
0.84,0.2021333
0.842,0.8289332
0.844,0.2032
0.846,0.7432666
0.848,0.2010666
0.85,0.8571333
0.852,0.2010666
0.854,0.8505999
0.856,0.2032
0.858,0.8353999
0.86,0.2043333
0.862,0.8213332
0.864,0.2032
0.866,0.8386666
0.868,0.2032
0.87,0.7909333
0.872,0.2010666
0.874,0.8679333
0.876,0.8429999
0.878,0.2032
0.88,0.2
0.882,0.8299999
0.884,0.7703332
0.886,0.2010666
0.888,0.2010666
0.89,0.7855332
0.892,0.7833999
0.894,0.2010666
0.896,0.1988667
0.898,0.7725332
0.9,0.2021333
0.902,0.7540666
0.904,0.2010666
0.906,0.8017999
0.908,0.2032
0.91,0.8429999
0.912,0.2032
0.914,0.7855332
0.916,0.2010666
0.918,0.8722666
0.92,0.8950666
0.922,0.2043333
0.924,0.2010666
0.926,0.8516666
0.928,0.8126666
0.93,0.1967333
0.932,0.2010666
0.934,0.8386666
0.936,0.2
0.9380000000000001,0.7313333
0.9400000000000001,0.2
0.9420000000000001,0.7779332
0.9440000000000001,0.7345999
0.9460000000000001,0.1967333
0.9480000000000001,0.2010666
0.9500000000000001,0.8299999
0.9520000000000001,0.2010666
0.9540000000000001,0.7345999
0.9560000000000001,0.2032
0.9580000000000001,0.8483999
0.96,0.2
0.962,0.8245999
0.964,0.2054
0.966,0.8516666
0.968,0.2021333
