Time (s),CH2 Voltage (V),CH3 Voltage (V)
-0.1,0.002226667,0.005893333
-0.0998,0.00178,0.006353333
-0.09960000000000001,0.002373333,0.006366666
-0.0994,0.00174,0.005739999
-0.09920000000000001,0.00232,0.005739999
-0.099,0.001406667,0.00638
-0.0988,0.001513333,0.005713333
-0.09860000000000001,0.002293333,0.006353333
-0.0984,0.00166,0.005726666
-0.09820000000000001,0.002373333,0.006326666
-0.098,0.001646667,0.005713333
-0.09780000000000001,0.002373333,0.006339999
-0.0976,0.001793333,0.006326666
-0.0974,0.002506667,0.005726666
-0.09720000000000001,0.002,0.005713333
-0.097,0.002846666,0.006339999
-0.09680000000000001,0.002913333,0.006353333
-0.0966,0.00224,0.005673333
-0.0964,0.002146666,0.006313333
-0.09620000000000001,0.002886666,0.0057
-0.096,0.002306666,0.006339999
-0.09580000000000001,0.002966666,0.005713333
-0.0956,0.002333333,0.0063
-0.09540000000000001,0.003086666,0.00566
-0.0952,0.002386667,0.005726666
-0.095,0.003166666,0.006286666
-0.09480000000000001,0.00302,0.006353333
-0.0946,0.002333333,0.005713333
-0.09440000000000001,0.002093333,0.006313333
-0.0942,0.0029,0.005686666
-0.094,0.00224,0.0063
-0.09380000000000001,0.002966666,0.005673333
-0.0936,0.0024,0.006246666
-0.09340000000000001,0.003373333,0.005646666
-0.0932,0.003386667,0.005686666
-0.093,0.00274,0.00626
-0.09280000000000001,0.003386667,0.0063
-0.0926,0.002633333,0.005619999
-0.09240000000000001,0.00306,0.00626
-0.0922,0.002346667,0.005633333
-0.092,0.0029,0.006339999
-0.0918,0.002173333,0.0057
-0.0916,0.002686667,0.006313333
-0.09140000000000001,0.00192,0.005686666
-0.0912,0.002546666,0.006339999
-0.091,0.001766667,0.0057
-0.0908,0.002306666,0.006353333
-0.0906,0.001646667,0.005753333
-0.09040000000000001,0.001806666,0.006326666
-0.0902,0.002633333,0.0057
-0.09000000000000001,0.00192,0.006353333
-0.0898,0.00262,0.005713333
-0.0896,0.00262,0.0057
-0.08940000000000001,0.001873333,0.006326666
-0.0892,0.00174,0.0057
-0.08900000000000001,0.00248,0.006286666
-0.0888,0.002546666,0.006313333
-0.08860000000000001,0.00182,0.00566
-0.0884,0.00262,0.0057
-0.0882,0.001833333,0.006313333
-0.08800000000000001,0.00174,0.005713333
-0.0878,0.00252,0.006353333
-0.08760000000000001,0.00174,0.005713333
-0.0874,0.002453333,0.006286666
-0.0872,0.00178,0.005686666
-0.08700000000000001,0.00252,0.006339999
-0.0868,0.00186,0.006326666
-0.08660000000000001,0.002506667,0.005686666
-0.0864,0.00186,0.0063
-0.0862,0.002713333,0.005686666
-0.08600000000000001,0.002133333,0.005726666
-0.0858,0.002766666,0.006326666
-0.08560000000000001,0.002226667,0.006339999
-0.0854,0.002873333,0.0057
-0.0852,0.002346667,0.006353333
-0.085,0.003033333,0.00566
-0.0848,0.00244,0.005686666
-0.08460000000000001,0.003293333,0.006326666
