Time (s),CH2 Voltage (V),CH3 Voltage (V)
-2.0,0.03936,0.2184467
-1.998,0.04345333,0.2184467
-1.996,0.03914667,0.2184467
-1.994,0.04356,0.2184467
-1.992,0.04345333,0.2184467
-1.99,0.03914667,0.2184467
-1.988,0.04345333,0.2184467
-1.986,0.03914667,0.2184467
-1.984,0.03925333,0.2184467
-1.982,0.04356,0.2184467
-1.98,0.03914667,0.2184467
-1.978,0.04334666,0.2184467
-1.976,0.04312667,0.2184467
-1.974,0.03892666,0.2184467
-1.972,0.03925333,0.2184467
-1.97,0.04345333,0.2184467
-1.968,0.04345333,0.2184467
-1.966,0.03914667,0.2184467
-1.964,0.03914667,0.2184467
-1.962,0.04334666,0.2184467
-1.96,0.03914667,0.2184467
-1.958,0.04312667,0.2184467
-1.956,0.04334666,0.2184467
-1.954,0.03871333,0.2184467
-1.952,0.04323333,0.2184467
-1.95,0.03892666,0.2149333
-1.948,0.04345333,0.2184467
-1.946,0.03914667,0.2184467
-1.944,0.03936,0.2184467
-1.942,0.04323333,0.2184467
-1.94,0.03914667,0.2184467
-1.938,0.04312667,0.2184467
-1.936,0.03903333,0.2184467
-1.934,0.04302,0.2184467
-1.932,0.03903333,0.2184467
-1.93,0.04323333,0.2184467
-1.928,0.04302,0.2184467
-1.926,0.03925333,0.2184467
-1.924,0.04323333,0.2184467
-1.922,0.03936,0.2184467
-1.92,0.03925333,0.2184467
-1.918,0.04312667,0.2165667
-1.916,0.04302,0.2184467
-1.914,0.03892666,0.21602
-1.912,0.03914667,0.2184467
-1.91,0.04323333,0.2159133
-1.908,0.04323333,0.2184467
-1.906,0.03925333,0.2184467
-1.904,0.04334666,0.2184467
-1.902,0.03914667,0.2184467
-1.9,0.03914667,0.2184467
-1.898,0.04345333,0.217
-1.896,0.03892666,0.2184467
-1.894,0.04312667,0.21678
-1.892,0.03903333,0.2184467
-1.89,0.04323333,0.2174333
-1.888,0.03903333,0.2184467
-1.886,0.04312667,0.2184467
-1.884,0.03914667,0.2184467
-1.882,0.04323333,0.21798
-1.88,0.04334666,0.2184467
-1.8780000000000001,0.03903333,0.2176533
-1.876,0.03882,0.2184467
-1.874,0.04312667,0.2184467
-1.8719999999999999,0.04323333,0.2184467
-1.87,0.03903333,0.2184467
-1.8679999999999999,0.04302,0.2184467
-1.866,0.03914667,0.2184467
-1.8639999999999999,0.03914667,0.2184467
-1.862,0.04323333,0.2178733
-1.8599999999999999,0.03914667,0.2184467
-1.858,0.04323333,0.2183066
-1.8559999999999999,0.04312667,0.2184467
-1.854,0.03903333,0.2184467
-1.852,0.03914667,0.2184467
-1.85,0.04312667,0.2173267
-1.848,0.04323333,0.2184467
-1.846,0.03914667,0.2184467
-1.844,0.03903333,0.2184467
-1.842,0.04345333,0.2178733
-1.84,0.03892666,0.2184467
-1.838,0.04323333,0.2182
-1.836,0.04323333,0.2184467
-1.834,0.03882,0.2184467
-1.832,0.03914667,0.2184467
-1.83,0.04323333,0.2182
-1.828,0.04345333,0.2184467
-1.826,0.03914667,0.2182
-1.824,0.03925333,0.2184467
-1.822,0.04334666,0.2184467
-1.82,0.04323333,0.2184467
-1.818,0.03892666,0.21798
-1.816,0.04323333,0.2184467
-1.814,0.03860666,0.2184467
-1.812,0.04323333,0.2184467
-1.81,0.03903333,0.2184467
-1.808,0.04356,0.2184467
-1.806,0.03914667,0.2178733
-1.804,0.03903333,0.2184467
-1.802,0.04345333,0.2184467
-1.8,0.03914667,0.2184467
-1.798,0.04323333,0.2182
-1.796,0.03903333,0.2184467
-1.794,0.04323333,0.21798
-1.792,0.03925333,0.2184467
-1.79,0.04334666,0.2174333
-1.788,0.03925333,0.2184467
-1.786,0.04366666,0.2173267
-1.784,0.03914667,0.2184467
-1.782,0.04356,0.2180866
-1.78,0.03925333,0.2184467
-1.778,0.04345333,0.2178733
-1.776,0.04356,0.2184467
-1.774,0.03925333,0.21798
-1.772,0.04356,0.2184467
-1.77,0.03925333,0.2173267
-1.768,0.04334666,0.2184467
-1.766,0.03925333,0.21722
-1.764,0.03925333,0.2184467
-1.762,0.04345333,0.21798
-1.76,0.04356,0.2184467
-1.758,0.03925333,0.2176533
-1.756,0.04356,0.2184467
-1.754,0.03914667,0.2182
-1.752,0.03914667,0.2184467
-1.75,0.04345333,0.2184467
-1.748,0.04356,0.2184467
-1.746,0.03914667,0.21678
-1.744,0.03925333,0.2184467
-1.742,0.04399333,0.2171067
-1.74,0.03925333,0.2184467
-1.738,0.04377333,0.2184467
-1.736,0.03914667,0.2184467
-1.734,0.04345333,0.2184133
-1.732,0.03936,0.2184467
-1.73,0.04345333,0.2184467
-1.728,0.03946666,0.2184467
-1.726,0.04345333,0.2166733
-1.724,0.03936,0.2184467
-1.722,0.04356,0.2184467
-1.72,0.03946666,0.2184467
-1.718,0.04345333,0.2184467
-1.716,0.04323333,0.2184467
-1.714,0.03925333,0.2164533
-1.712,0.03925333,0.2184467
-1.71,0.04356,0.2171067
-1.708,0.04366666,0.2184467
-1.706,0.03925333,0.2158066
-1.704,0.03946666,0.2184467
-1.702,0.04356,0.2164533
-1.7,0.03925333,0.2184467
-1.698,0.04366666,0.2164533
-1.696,0.03925333,0.2184467
-1.694,0.04323333,0.2171067
-1.692,0.03946666,0.2184467
-1.69,0.04345333,0.2184467
-1.688,0.03936,0.2184467
-1.686,0.04377333,0.2184467
-1.684,0.03936,0.2184467
-1.682,0.04356,0.2184467
-1.68,0.03914667,0.2184467
-1.678,0.04345333,0.2184467
-1.676,0.04345333,0.2184467
-1.674,0.03914667,0.217
-1.672,0.04345333,0.2184467
-1.67,0.03936,0.2184467
-1.668,0.04356,0.2184467
-1.666,0.03925333,0.2184467
-1.664,0.03968,0.2184467
-1.662,0.04345333,0.2184467
-1.66,0.04356,0.2184467
-1.658,0.03957333,0.2184467
-1.656,0.04345333,0.2184467
-1.654,0.03936,0.2183066
-1.652,0.04345333,0.2184467
-1.65,0.03936,0.2184467
-1.6480000000000001,0.03946666,0.2184467
-1.646,0.04356,0.2184467
-1.6440000000000001,0.04356,0.2184467
