Time (s),CH1 Voltage (V),CH2 Voltage (V),CH3 Voltage (V)
-0.025,2.5168,0.007653333,8.446933
-0.02495,-2.492266,0.2425067,12.50587
-0.024900000000000002,-2.4832,0.2491733,12.5016
-0.02485,-2.446933,0.3499733,12.46027
-0.024800000000000003,-2.501333,0.35376,12.5016
-0.02475,-2.4424,0.4208,12.46027
-0.0247,-2.446933,0.41984,12.4624
-0.024650000000000002,-2.501333,0.4488533,12.4864
-0.0246,-2.505867,0.4488533,12.48853
-0.024550000000000002,-2.4336,0.4108266,12.46027
-0.0245,-2.501333,0.4070133,12.45373
-0.024450000000000003,-2.446933,0.3856266,12.48853
-0.0244,-2.4968,0.3813333,12.49067
-0.02435,-2.446933,0.3989333,12.45587
-0.024300000000000002,-2.492266,0.3974933,12.48853
-0.02425,-2.451466,0.4193866,12.4516
-0.024200000000000003,-2.446933,0.4169866,12.4864
-0.02415,-2.4968,0.3989333,12.44947
-0.0241,-2.487733,0.3989333,12.4864
-0.024050000000000002,-2.446933,0.3837066,12.45373
-0.024,-2.492266,0.38704,12.48853
-0.023950000000000003,-2.438133,0.3761066,12.45587
-0.0239,-2.501333,0.3818133,12.45587
-0.023850000000000003,-2.438133,0.3727733,12.5016
-0.0238,-2.4968,0.37992,12.46027
-0.02375,-2.456,0.3732533,12.4972
-0.023700000000000002,-2.4832,0.37992,12.46027
-0.02365,-2.4424,0.3727733,12.49293
-0.023600000000000003,-2.438133,0.37896,12.48853
-0.02355,-2.501333,0.37184,12.46027
-0.0235,-2.438133,0.3727733,12.49293
-0.023450000000000002,-2.505867,0.37992,12.45373
-0.0234,-2.505867,0.378,12.50373
-0.023350000000000003,-2.456,0.38848,12.46027
-0.0233,-2.446933,0.38656,12.49293
-0.02325,-2.505867,0.3770666,12.45373
-0.023200000000000002,-2.456,0.3746933,12.48853
-0.02315,-2.4968,0.3813333,12.4624
-0.023100000000000002,-2.492266,0.3804,12.49293
-0.02305,-2.446933,0.3727733,12.46027
-0.023,-2.438133,0.3694666,12.49507
-0.02295,-2.501333,0.3775466,12.46467
-0.0229,-2.501333,0.3813333,12.4624
-0.022850000000000002,-2.451466,0.37088,12.49067
-0.0228,-2.492266,0.3742133,12.49067
-0.02275,-2.446933,0.3827733,12.45373
-0.0227,-2.451466,0.3813333,12.45587
-0.02265,-2.505867,0.3894133,12.4972
-0.022600000000000002,-2.501333,0.3856266,12.45373
-0.02255,-2.451466,0.378,12.49293
-0.022500000000000003,-2.456,0.37848,12.46027
-0.02245,-2.505867,0.388,12.4972
-0.0224,-2.492266,0.3851466,12.49293
-0.022350000000000002,-2.460533,0.3756267,12.45373
-0.0223,-2.4336,0.3770666,12.49507
-0.022250000000000002,-2.492266,0.3898933,12.46467
-0.0222,-2.446933,0.3908533,12.46467
-0.022150000000000003,-2.514666,0.37896,12.48853
-0.0221,-2.451466,0.3775466,12.4864
-0.02205,-2.505867,0.38752,12.45373
-0.022000000000000002,-2.456,0.3861066,12.48853
-0.02195,-2.487733,0.3770666,12.45373
-0.021900000000000003,-2.4968,0.3761066,12.46027
-0.02185,-2.4424,0.3837066,12.4864
-0.0218,-2.456,0.3851466,12.45813
-0.021750000000000002,-2.4968,0.3756267,12.49067
-0.0217,-2.438133,0.3751733,12.4624
-0.021650000000000003,-2.4832,0.38704,12.49933
-0.0216,-2.4968,0.3856266,12.46467
-0.02155,-2.446933,0.4003466,12.49293
-0.021500000000000002,-2.501333,0.39656,12.46467
-0.02145,-2.4336,0.38704,12.49293
-0.021400000000000002,-2.514666,0.3856266,12.49067
-0.02135,-2.4424,0.3932267,12.45813
-0.0213,-2.4424,0.3922666,12.49293
-0.02125,-2.492266,0.4165333,12.44293
-0.0212,-2.451466,0.4189066,12.4972
-0.021150000000000002,-2.4968,0.4065333,12.4624
-0.0211,-2.451466,0.4074933,12.46027
-0.02105,-2.501333,0.38752,12.49507
-0.021,-2.492266,0.3894133,12.45373
-0.020950000000000003,-2.456,0.3765866,12.4972
-0.020900000000000002,-2.505867,0.3765866,12.45373
-0.02085,-2.429066,0.39656,12.48853
-0.0208,-2.501333,0.39656,12.4864
-0.02075,-2.446933,0.4274666,12.46027
-0.020700000000000003,-2.501333,0.4331733,12.49293
-0.02065,-2.438133,0.4184266,12.45813
-0.0206,-2.4968,0.4226933,12.45587
-0.020550000000000002,-2.456,0.3974933,12.49067
-0.0205,-2.4832,0.3974933,12.4864
-0.020450000000000003,-2.4424,0.40512,12.45587
-0.0204,-2.492266,0.4003466,12.49507
-0.02035,-2.446933,0.4089066,12.46027
