Time (s),no_pump,pump_1552.4385nm,no_pump,pump_1551nm,pump_1556nm
4.2e-05,0.08408666,0.08659999,0.09310666,0.08532666,0.1004
4.2499999999999996e-05,0.08473333,0.08582,0.09403332,0.08606666,0.09965999
4.2999999999999995e-05,0.08478666,0.08580666,0.09397999,0.086,0.1003733
4.35e-05,0.08403333,0.08659999,0.09317333,0.08538,0.0997
4.4e-05,0.08476,0.08661333,0.09396666,0.08542,0.09960666
4.45e-05,0.08404666,0.08585999,0.09313333,0.08601332,0.1003733
4.4999999999999996e-05,0.08476,0.08659999,0.09393999,0.08607999,0.09963333
4.5499999999999995e-05,0.08404666,0.08588666,0.09311999,0.08539332,0.1003733
4.6e-05,0.0848,0.08577999,0.09313333,0.08610666,0.1003867
4.65e-05,0.08399333,0.08662666,0.09396666,0.08545999,0.09965999
4.7e-05,0.08407333,0.08584666,0.09311999,0.08544666,0.09963333
4.7499999999999996e-05,0.08476,0.08666666,0.0939,0.08619999,0.1003333
4.8e-05,0.08474666,0.08583333,0.09391332,0.08610666,0.09963333
4.85e-05,0.08407333,0.08665333,0.09313333,0.08547333,0.10032
4.9e-05,0.0848,0.08671333,0.09307999,0.08544666,0.1003467
4.95e-05,0.08405999,0.08583333,0.09396666,0.08613332,0.09965999
4.9999999999999996e-05,0.08399333,0.08587333,0.09307999,0.08552666,0.10036
5.05e-05,0.08476,0.08662666,0.09396666,0.08613332,0.09963333
5.1e-05,0.08404666,0.08591333,0.09395333,0.08547333,0.09961999
5.15e-05,0.08476,0.08665333,0.09311999,0.08617333,0.1004267
5.2e-05,0.08483999,0.08589999,0.09311999,0.08618666,0.09971333
5.2499999999999995e-05,0.08404666,0.08665333,0.09392666,0.08554,0.1005
5.3e-05,0.0848,0.08666666,0.09317333,0.08552666,0.09978666
5.35e-05,0.08405999,0.08588666,0.09391332,0.08619999,0.1004533
5.4e-05,0.08400666,0.08589999,0.09318666,0.08621333,0.09982666
5.4499999999999997e-05,0.08473333,0.08669999,0.09397999,0.08549999,0.10054
5.4999999999999995e-05,0.08405999,0.08665333,0.09399333,0.08623999,0.09983999
5.55e-05,0.08474666,0.08591333,0.09318666,0.08557999,0.10054
5.6e-05,0.08405999,0.08666666,0.09319999,0.08557999,0.09985333
5.65e-05,0.08476,0.08587333,0.09401999,0.08622666,0.10058
5.6999999999999996e-05,0.08473333,0.08591333,0.09313333,0.08560666,0.09981333
5.7499999999999995e-05,0.08407333,0.08665333,0.09400666,0.08629332,0.10054
5.8e-05,0.08474666,0.08666666,0.09395333,0.08628,0.1005267
5.85e-05,0.08407333,0.08592666,0.09304,0.08564666,0.09982666
5.9e-05,0.08407333,0.08592666,0.09397999,0.08563333,0.09979999
5.9499999999999996e-05,0.08478666,0.08671333,0.09313333,0.08628,0.10054
5.9999999999999995e-05,0.08476,0.08595333,0.09313333,0.08567332,0.10058
6.05e-05,0.08404666,0.08685999,0.0939,0.08625333,0.09978666
6.1e-05,0.08403333,0.08672666,0.09310666,0.08634666,0.1004867
6.149999999999999e-05,0.08478666,0.08591333,0.09388666,0.08566,0.09976666
6.2e-05,0.08476,0.08672666,0.0939,0.08563333,0.09976666
6.25e-05,0.08399333,0.08591333,0.09311999,0.08633333,0.1004667
6.3e-05,0.08476,0.08589999,0.09309333,0.08571333,0.09982666
6.35e-05,0.08407333,0.08672666,0.0939,0.08635999,0.1005
6.4e-05,0.08404666,0.086,0.09388666,0.08635999,0.09979999
