Time (s),no_pump,no_pump,pump_1552.4425nm,pump_1552.4425nm,no_pump,no_pump,pump_1552.2nm,pump_1552.2nm,pump_1552.6nm,pump_1552.6nm
0.0,0.12280695999999999,0.12280695999999999,0.1482336,0.1482336,0.13417958,0.13417958,0.13861030000000002,0.13861030000000002,0.13762028,0.13762028
1e-05,0.12126094000000001,0.12126094000000001,0.1486148,0.1486148,0.13513371999999998,0.13513371999999998,0.14107196,0.14107196,0.13766546000000002,0.13766546000000002
2e-05,0.12118096,0.12118096,0.14859706,0.14859706,0.13522534000000003,0.13522534000000003,0.14120146,0.14120146,0.13762974,0.13762974
3.0000000000000004e-05,0.11981974,0.11981974,0.14882918,0.14882918,0.13404478,0.13404478,0.1436081,0.1436081,0.13671616,0.13671616
4e-05,0.11975332000000001,0.11975332000000001,0.14887478,0.14887478,0.13394388,0.13394388,0.14372623999999998,0.14372623999999998,0.13666932,0.13666932
5e-05,0.11882319999999999,0.11882319999999999,0.14895892000000002,0.14895892000000002,0.13202092,0.13202092,0.1458208,0.1458208,0.1355964,0.1355964
6.000000000000001e-05,0.11882224,0.11882224,0.14901267999999998,0.14901267999999998,0.13191948,0.13191948,0.14599037999999998,0.14599037999999998,0.13551654000000002,0.13551654000000002
7.000000000000001e-05,0.11893654000000001,0.11893654000000001,0.14895854000000003,0.14895854000000003,0.13004359999999998,0.13004359999999998,0.14594254,0.14594254,0.13416746,0.13416746
8e-05,0.11901893999999999,0.11901893999999999,0.14896064,0.14896064,0.12993572,0.12993572,0.14581146,0.14581146,0.13408546000000002,0.13408546000000002
9e-05,0.12019519999999999,0.12019519999999999,0.14851878000000002,0.14851878000000002,0.12823466,0.12823466,0.143542,0.143542,0.13281388,0.13281388
0.0001,0.12031188,0.12031188,0.14852588,0.14852588,0.12813918000000002,0.12813918000000002,0.14342012,0.14342012,0.13275976,0.13275976
0.00011,0.12207280000000001,0.12207280000000001,0.1480768,0.1480768,0.12656134000000002,0.12656134000000002,0.14108652,0.14108652,0.13171332000000002,0.13171332000000002
0.00012000000000000002,0.12217628,0.12217628,0.14807372000000002,0.14807372000000002,0.12648666,0.12648666,0.14095906,0.14095906,0.13158531999999998,0.13158531999999998
0.00013000000000000002,0.124062,0.124062,0.14781519999999998,0.14781519999999998,0.12543147999999998,0.12543147999999998,0.13878932,0.13878932,0.13109692,0.13109692
0.00014000000000000001,0.12419334,0.12419334,0.14781091999999998,0.14781091999999998,0.1253652,0.1253652,0.1386744,0.1386744,0.13116425999999998,0.13116425999999998
0.00015000000000000001,0.12605654,0.12605654,0.14753439999999998,0.14753439999999998,0.1255808,0.1255808,0.1367168,0.1367168,0.13144666,0.13144666
