Time (s),CH1 (V)
0.0,-0.57
2e-06,5.26
4e-06,5.293333
6e-06,-5.308667
8e-06,-5.32
9.999999999999999e-06,5.204
1.2e-05,5.315333
1.4e-05,-5.242
1.6e-05,-5.376
1.8e-05,-0.4693333
1.9999999999999998e-05,-0.392
2.2e-05,5.338
2.4e-05,5.282
2.6e-05,-5.342
2.8e-05,-5.386667
2.9999999999999997e-05,5.204
3.2e-05,5.315333
3.4e-05,-5.275333
3.6e-05,-5.342
3.7999999999999995e-05,-0.3806667
3.9999999999999996e-05,-0.414
4.2e-05,5.304
4.4e-05,5.315333
4.6e-05,-5.308667
4.8e-05,-5.331333
4.9999999999999996e-05,5.215333
5.2e-05,5.293333
5.4e-05,-5.253333
5.6e-05,-5.386667
5.8e-05,-0.5026667
5.9999999999999995e-05,-0.536
6.2e-05,5.293333
6.4e-05,5.26
6.599999999999999e-05,-5.331333
6.8e-05,-5.364666
7e-05,5.26
7.2e-05,5.315333
7.4e-05,-5.253333
7.599999999999999e-05,-5.386667
7.8e-05,-0.358
7.999999999999999e-05,-0.3693333
8.2e-05,5.282
8.4e-05,5.315333
8.599999999999999e-05,-5.308667
8.8e-05,-5.342
8.999999999999999e-05,5.215333
9.2e-05,5.282
9.4e-05,-5.253333
9.6e-05,-5.376
9.8e-05,-0.5473333
9.999999999999999e-05,-0.5586666
0.000102,5.26
0.000104,5.270667
0.000106,-5.298
0.000108,-5.364666
0.00010999999999999999,5.226666
0.000112,5.293333
0.00011399999999999999,-5.253333
0.000116,-5.353333
0.000118,-0.358
0.00011999999999999999,-0.392
0.000122,5.282
0.000124,5.338
0.000126,-5.308667
0.000128,-5.364666
0.00013,5.226666
0.00013199999999999998,5.326667
0.000134,-5.231333
0.000136,-5.398
0.000138,-0.314
0.00014,-0.436
0.00014199999999999998,5.326667
0.000144,5.282
0.000146,-5.342
0.000148,-5.342
0.00015,5.26
0.00015199999999999998,5.338
0.000154,-5.253333
0.000156,-5.353333
0.000158,-0.314
0.00015999999999999999,-0.436
