Frequency (Hz),Vrms (V)
100,0.10717145481943803
500,0.10771998512304379
1000,0.10557085650932892
2000,0.1046023445212351
3000,0.1065616368659666
4000,0.10427989375949807
5000,0.10512586676688654
7000,0.10392290606481167
8000,0.10464889167267977
9000,0.10585585410356606
10000,0.1052538739284739
12000,0.10449254726921475
14000,0.10433508842433406
16000,0.10513980019279498
18000,0.10410729234898758
20000,0.10626409982115988
25000,0.1068481097810408
30000,0.1069794745207279
50000,0.10759246537330976
75000,0.10837193287050909
100000,0.1068926007078744
200000,0.11207246932581638
300000,0.10832777079894297
400000,0.10882770382583123
500000,0.0869696826906571
750000,0.11078315143808344
1000000,0.1110544690579303
2000000,0.11357461578831628
3000000,0.1128624953210336
4000000,0.11630766396833857
5000000,0.11372624911594871
