Time (s),Voltage (V),Frequency (Hz),Magnitude (dB)
-20.0,0.1098,0.0,40.863391464044966
-19.98,0.11508,0.0,40.863391464044966
-19.96,0.11508,0.0,40.863391464044966
-19.94,0.1090467,0.0,40.863391464044966
-19.92,0.10872,0.0,40.863391464044966
-19.9,0.1151867,0.0,40.863391464044966
-19.88,0.1149733,0.0,40.863391464044966
-19.86,0.1091533,0.0,40.863391464044966
-19.84,0.1091533,0.0,40.863391464044966
-19.82,0.1151867,0.0,40.863391464044966
-19.8,0.1151867,0.0,40.863391464044966
-19.78,0.1091533,0.0,40.863391464044966
-19.76,0.1093667,0.0,40.863391464044966
-19.74,0.1151867,0.0,40.863391464044966
-19.72,0.1152933,0.0,40.863391464044966
-19.7,0.10926,0.0,40.863391464044966
-19.68,0.1096933,0.0,40.863391464044966
-19.66,0.1154,0.0,40.863391464044966
-19.64,0.1152933,0.0,40.863391464044966
-19.62,0.1096933,0.0,40.863391464044966
-19.6,0.1155067,0.0,40.863391464044966
-19.58,0.1096933,0.0,40.863391464044966
-19.56,0.1158333,0.0,40.863391464044966
-19.54,0.1096933,0.0,40.863391464044966
-19.52,0.11594,0.0,40.863391464044966
-19.5,0.1100133,0.0,40.863391464044966
-19.48,0.11626,0.0,40.863391464044966
-19.46,0.1104467,0.0,40.863391464044966
-19.44,0.11034,0.0,40.863391464044966
-19.42,0.11648,0.0,40.863391464044966
-19.4,0.11088,0.0,40.863391464044966
-19.38,0.1165867,0.0,40.863391464044966
-19.36,0.1165867,0.0,40.863391464044966
-19.34,0.11088,0.0,40.863391464044966
-19.32,0.1168,0.0,40.863391464044966
-19.3,0.1110933,0.0,40.863391464044966
-19.28,0.11702,0.0,40.863391464044966
-19.26,0.11088,0.0,40.863391464044966
-19.24,0.11702,0.0,40.863391464044966
-19.22,0.11088,0.0,40.863391464044966
-19.2,0.1168,0.0,40.863391464044966
-19.18,0.11088,0.0,40.863391464044966
-19.16,0.1166933,0.0,40.863391464044966
-19.14,0.11088,0.0,40.863391464044966
-19.12,0.1165867,0.0,40.863391464044966
-19.1,0.1107667,0.0,40.863391464044966
-19.08,0.11648,0.0,40.863391464044966
-19.06,0.1104467,0.0,40.863391464044966
-19.04,0.11626,0.0,40.863391464044966
-19.02,0.1102333,0.0,40.863391464044966
-19.0,0.11594,0.0,40.863391464044966
-18.98,0.1102333,0.0,40.863391464044966
-18.96,0.11594,0.0,40.863391464044966
-18.94,0.1102333,0.0,40.863391464044966
-18.92,0.1157267,0.0,40.863391464044966
-18.9,0.1102333,0.0,40.863391464044966
-18.88,0.1100133,0.0,40.863391464044966
-18.86,0.1157267,0.0,40.863391464044966
-18.84,0.1100133,0.0,40.863391464044966
-18.82,0.11594,0.0,40.863391464044966
