Time (s),CH2 (V),CH3 (V)
0.0,0.09536,0.11984
2e-05,0.0984,0.12408
4e-05,0.09898666,0.1248
6.000000000000001e-05,0.09469333,0.1206667
8e-05,0.09850666,0.1244
0.0001,0.09447999,0.1162133
0.00012000000000000002,0.09874666,0.11616
0.00014000000000000001,0.09434666,0.1201333
0.00016,0.09850666,0.11664
0.00018,0.09463999,0.1223733
0.0002,0.09863999,0.11864
0.00022,0.09482666,0.1242133
0.00024000000000000003,0.09463999,0.1247467
0.00026000000000000003,0.09855999,0.12048
0.00028000000000000003,0.09493332,0.1230133
0.00030000000000000003,0.0988,0.1159733
0.00032,0.09850666,0.11592
0.00034,0.09469333,0.1202933
0.00036,0.09469333,0.1169333
0.00038,0.09855999,0.12232
0.0004,0.09487999,0.11888
0.00042,0.09863999,0.12416
0.00044,0.09863999,0.1246933
0.00046,0.09487999,0.11976
0.00048000000000000007,0.09447999,0.1232
0.0005,0.09855999,0.11568
0.0005200000000000001,0.09458666,0.1155733
0.00054,0.0984,0.12024
0.0005600000000000001,0.0944,0.1173867
0.00058,0.09831999,0.1224267
0.0006000000000000001,0.09463999,0.1185333
0.00062,0.09874666,0.12504
0.00064,0.09885333,0.1251467
0.0006600000000000001,0.09434666,0.1203733
0.00068,0.09863999,0.1236267
0.0007000000000000001,0.09493332,0.11616
0.00072,0.09869333,0.1160267
0.0007400000000000001,0.09477333,0.1204267
0.00076,0.09458666,0.11704
0.0007800000000000001,0.09855999,0.1223733
0.0008,0.09501333,0.1185867
0.0008200000000000001,0.09903999,0.1240267
0.00084,0.0988,0.1248
0.0008600000000000001,0.09487999,0.1201333
0.00088,0.09482666,0.1234933
0.0009000000000000001,0.09885333,0.1162133
0.00092,0.09863999,0.1162667
0.0009400000000000001,0.09482666,0.1202933
0.0009600000000000001,0.09477333,0.1170933
0.0009800000000000002,0.09869333,0.12184
0.001,0.0988,0.1185333
0.00102,0.09493332,0.12432
0.0010400000000000001,0.09506666,0.1248
0.0010600000000000002,0.09909333,0.1198933
0.00108,0.09917333,0.1230133
0.0011,0.09482666,0.1164
0.0011200000000000001,0.09863999,0.1163467
0.0011400000000000002,0.09463999,0.1210133
