Time (s),no_pump,pump_1552.4425nm,no_pump,pump_1552.2nm,pump_1552.6nm
0.0,0.1372747,0.16344066,0.13845716000000002,0.1539428,0.14987171999999999
1e-05,0.1372747,0.16170502,0.13609585999999999,0.15199318,0.14814317999999999
2e-05,0.1372747,0.16160532,0.13598944000000002,0.15187656,0.14806064
3.0000000000000004e-05,0.1372747,0.1597572,0.13380254,0.14974668,0.14657614
4e-05,0.1372747,0.15965986000000001,0.13368971999999998,0.14965532,0.14651614
5e-05,0.1372747,0.15810880000000002,0.13190079999999998,0.14790145999999998,0.14533611999999999
6.000000000000001e-05,0.1372747,0.15802449999999998,0.13181226000000001,0.14779625999999998,0.14527386000000003
7.000000000000001e-05,0.1372747,0.15675598000000002,0.1304832,0.14673224,0.14482866
8e-05,0.1372747,0.15669478,0.13051720000000003,0.14668785999999998,0.14482212
9e-05,0.1372747,0.15580226,0.13013882000000002,0.14635077999999999,0.14497748
0.0001,0.1372747,0.15577718,0.1301544,0.14631852,0.14502118
0.00011,0.1372747,0.15569039999999998,0.13052506,0.14669732,0.14593240000000002
0.00012000000000000002,0.1372747,0.15569852,0.13053002,0.14676918,0.14600334
0.00013000000000000002,0.1372747,0.15657478,0.13210172,0.14799800000000002,0.1475241
0.00014000000000000001,0.1372747,0.15665811999999998,0.13220691999999998,0.1481016,0.14763066
0.00015000000000000001,0.1372747,0.15821438000000002,0.13448214,0.15011412,0.14939236
0.00016,0.1372747,0.15830729999999998,0.13462584000000002,0.15021598,0.1494804
0.00017,0.1372747,0.16008358,0.13711308000000003,0.15244118,0.15117345999999998
0.00018,0.1372747,0.16019106,0.13727254,0.15253466000000002,0.1512344
0.00019,0.1372747,0.16199159999999999,0.1390241,0.15417172,0.15212876
0.0002,0.1372747,0.16210358,0.13907052,0.15418054,0.15207636
0.00021,0.1372747,0.16359584,0.1396576,0.15478277999999998,0.151972
0.00022,0.1372747,0.16365332,0.13966756,0.15478078,0.15189892
0.00023,0.1372747,0.16401452,0.13924799999999998,0.15471356,0.1508788
0.00024000000000000003,0.1372747,0.16399438,0.13930228,0.154642,0.15081118000000002
0.00025,0.1372747,0.16277811999999997,0.13736824,0.15334613999999996,0.14908132
0.00026000000000000003,0.1372747,0.16268529999999998,0.13724664,0.15321946000000003,0.14897849999999999
0.00027,0.1372747,0.16068054,0.13494931999999998,0.1511252,0.14734904
0.00028000000000000003,0.1372747,0.16056372,0.13484866,0.15101348,0.14728468
0.00029,0.1372747,0.15880464,0.13278174000000004,0.1490993,0.14590799999999998
0.00030000000000000003,0.1372747,0.15871864,0.13268226,0.14901666,0.1458313
0.00031,0.1372747,0.15727600000000003,0.13112096,0.1475756,0.14494424
0.00032,0.1372747,0.15719254,0.13104654,0.14750132000000002,0.14494376
0.00033000000000000005,0.1372747,0.15607010000000002,0.13027839999999996,0.14687372,0.14475052000000002
0.00034,0.1372747,0.15600920000000001,0.13018068,0.14685452,0.14476826
0.00035000000000000005,0.1372747,0.15547718000000002,0.13025641999999998,0.14682852,0.14526002000000002
0.00036,0.1372747,0.15542664,0.13025998,0.14682906,0.14532425999999998
0.00037000000000000005,0.1372747,0.1558056,0.13115504000000003,0.14759518,0.14654214
0.00038,0.1372747,0.15585372,0.13129438,0.1476368,0.14663012
0.00039000000000000005,0.1372747,0.15720544,0.13325532,0.14930936,0.14829092
0.0004,0.1372747,0.15728306,0.13337424,0.14941174000000002,0.14837238
0.00041000000000000005,0.1372747,0.15905746,0.13583426000000004,0.15152397999999997,0.15010586
0.00042,0.1372747,0.15917348,0.13596146,0.15165184,0.15020195999999997
0.00043000000000000004,0.1372747,0.1610736,0.1382504,0.15355093999999997,0.151538
0.00044,0.1372747,0.1611652,0.13836934000000004,0.15369598,0.1515929
0.00045000000000000004,0.1372747,0.16292358,0.13946920000000002,0.15466544,0.15185079999999998
0.00046,0.1372747,0.16305240000000001,0.13949454,0.15468014,0.15186117999999998
0.00047000000000000004,0.1372747,0.16416,0.13967558000000002,0.15498746,0.15124120000000002
0.00048000000000000007,0.1372747,0.16419480000000003,0.13953427999999998,0.154996,0.15114504
0.0004900000000000001,0.1372747,0.16383172000000001,0.13862838,0.15435998,0.14972372
0.0005,0.1372747,0.16376292,0.13846266000000002,0.1543292,0.14962372
0.00051,0.1372747,0.16197122,0.1361188,0.15244691999999999,0.14785904
0.0005200000000000001,0.1372747,0.16185666,0.13601758,0.15232428,0.14776731999999998
0.0005300000000000001,0.1372747,0.15990012,0.1338152,0.15021278,0.14626186
0.00054,0.1372747,0.15979896,0.13369293999999998,0.15010002,0.14619306
0.00055,0.1372747,0.1581973,0.13188558,0.1483592,0.14501118000000002
0.0005600000000000001,0.1372747,0.15814106,0.13179506000000002,0.1482465,0.14492426
0.0005700000000000001,0.1372747,0.15685372000000003,0.13048038,0.14719626,0.14448438000000002
0.00058,0.1372747,0.15680196,0.13051852000000003,0.1471816,0.14446798
0.00059,0.1372747,0.15593388,0.13015798,0.14680078000000002,0.14461478
0.0006000000000000001,0.1372747,0.15593490000000002,0.13015414,0.14676466,0.14466402
0.0006100000000000001,0.1372747,0.155868,0.13055028,0.14709532,0.1455496
0.00062,0.1372747,0.155882,0.13054492,0.14713082,0.14562386
0.00063,0.1372747,0.15683825999999998,0.1321368,0.14828386,0.14715094
0.00064,0.1372747,0.15690292,0.13223401999999998,0.14839692,0.14725212000000001
0.0006500000000000001,0.1372747,0.15852452,0.13452494,0.15034468,0.14901174
0.0006600000000000001,0.1372747,0.15860211999999999,0.13465308,0.15045786,0.14910905999999996
