Time (s),Voltage (V),Frequency (Hz),Magnitude (dB)
-2.0,0.14502,0.0,41.92694795802578
-1.998,0.1090467,0.0,41.92694795802578
-1.996,0.1088333,0.0,41.92694795802578
-1.994,0.1484667,0.0,41.92694795802578
-1.992,0.1509467,0.0,41.92694795802578
-1.99,0.1110933,0.0,41.92694795802578
-1.988,0.1146467,0.0,41.92694795802578
-1.986,0.10894,0.0,41.92694795802578
-1.984,0.10926,0.0,41.92694795802578
-1.982,0.14782,0.0,41.92694795802578
-1.98,0.1477133,0.0,41.92694795802578
-1.978,0.1091533,0.0,41.92694795802578
-1.976,0.1091533,0.0,41.92694795802578
-1.974,0.1477133,0.0,41.92694795802578
-1.972,0.14782,0.0,41.92694795802578
-1.97,0.1113067,0.0,41.92694795802578
-1.968,0.1151867,0.0,41.92694795802578
-1.966,0.1090467,0.0,41.92694795802578
-1.964,0.1091533,0.0,41.92694795802578
-1.962,0.1471733,0.0,41.92694795802578
-1.96,0.1462067,0.0,41.92694795802578
-1.958,0.1091533,0.0,41.92694795802578
-1.956,0.1091533,0.0,41.92694795802578
-1.954,0.1424333,0.0,41.92694795802578
-1.952,0.1466333,0.0,41.92694795802578
-1.95,0.1112,0.0,41.92694795802578
-1.948,0.11486,0.0,41.92694795802578
-1.946,0.10894,0.0,41.92694795802578
-1.944,0.1093667,0.0,41.92694795802578
-1.942,0.1543933,0.0,41.92694795802578
-1.94,0.1453467,0.0,41.92694795802578
-1.938,0.1091533,0.0,41.92694795802578
-1.936,0.1091533,0.0,41.92694795802578
-1.934,0.15008,0.0,41.92694795802578
-1.932,0.1479267,0.0,41.92694795802578
-1.93,0.1110933,0.0,41.92694795802578
-1.928,0.1151867,0.0,41.92694795802578
-1.926,0.10926,0.0,41.92694795802578
-1.924,0.1093667,0.0,41.92694795802578
-1.922,0.1447,0.0,41.92694795802578
-1.92,0.1439467,0.0,41.92694795802578
-1.918,0.1090467,0.0,41.92694795802578
-1.916,0.1090467,0.0,41.92694795802578
-1.914,0.1439467,0.0,41.92694795802578
-1.912,0.1475,0.0,41.92694795802578
-1.91,0.1113067,0.0,41.92694795802578
-1.908,0.1151867,0.0,41.92694795802578
-1.906,0.10926,0.0,41.92694795802578
-1.904,0.1091533,0.0,41.92694795802578
-1.902,0.1515933,0.0,41.92694795802578
-1.9,0.1442667,0.0,41.92694795802578
-1.898,0.10926,0.0,41.92694795802578
-1.896,0.10894,0.0,41.92694795802578
-1.894,0.1457733,0.0,41.92694795802578
-1.892,0.14728,0.0,41.92694795802578
-1.89,0.1112,0.0,41.92694795802578
-1.888,0.11508,0.0,41.92694795802578
